Date,Price,Open,High,Low,Vol.,Change %
2022-06-01,701.19,714.87,714.87,700.07,72.82M,-1.64%
2022-05-31,712.88,714.4,719,711.45,156.38M,0.64%
2022-05-30,708.34,707.49,711.67,706.86,58.67M,0.86%
2022-05-27,702.28,694.97,702.28,693.06,65.76M,1.37%
2022-05-26,692.8,684.54,694.18,684.36,53.35M,1.27%
2022-05-25,684.11,684.83,686.43,677.59,66.79M,0.62%
2022-05-24,679.88,685.47,688.56,679.7,69.07M,-2.04%
2022-05-23,694.02,692.22,694.02,685.11,70.69M,1.62%
2022-05-20,682.96,681.29,692.19,681.2,74.93M,0.68%
2022-05-19,678.35,681.65,684.86,669.42,79.15M,-2.12%
2022-05-18,693.03,703.23,703.75,692.45,79.93M,-1.36%
2022-05-17,702.58,699.82,707.21,698.29,85.48M,1.15%
2022-05-16,694.62,690.08,696.34,687.64,69.23M,0.07%
2022-05-13,694.13,682.37,694.68,680.7,83.75M,2.82%
2022-05-12,675.09,663.69,680.06,662.22,99.74M,-1.11%
2022-05-11,682.7,675.36,683.61,666.96,99.15M,1.94%
2022-05-10,669.74,671.86,679.59,669.59,82.48M,0.54%
2022-05-09,666.17,677.82,684.11,666.17,80.75M,-2.35%
2022-05-06,682.19,692.28,692.56,675.96,92.09M,-2.01%
2022-05-05,696.19,713.4,714.7,694.4,86.99M,-0.36%
2022-05-04,698.68,706.99,707.16,698.68,67.54M,-1.03%
2022-05-03,705.95,701.74,706,699.3,75.47M,1.66%
2022-05-02,694.44,710.83,710.83,681.1,70.38M,-2.33%
2022-04-29,710.98,712.39,719.1,709.04,84.54M,0.72%
2022-04-28,705.93,704.01,707.64,699.42,81.36M,1.38%
2022-04-27,696.35,693.75,699.65,687.74,91.03M,0.11%
2022-04-26,695.57,711.24,711.38,694.22,87.76M,-0.51%
2022-04-25,699.17,700.95,708.39,696.33,95.73M,-2.52%
2022-04-22,717.26,718.55,723.78,716.8,77.03M,-1.62%
2022-04-21,729.05,727.21,732.58,726,82.05M,0.47%
2022-04-20,725.61,721.74,730.77,717.32,94.62M,1.26%
2022-04-19,716.57,716.37,719.83,707.89,84.10M,-0.43%
2022-04-14,719.7,719.66,723.55,717.02,86.34M,0.23%
2022-04-13,718.07,713.23,718.07,711.61,68.38M,0.24%
2022-04-12,716.38,708.33,718.69,705.03,83.38M,0.23%
2022-04-11,714.74,717.75,721.06,713.24,74.52M,-1.38%
2022-04-08,724.75,725.35,727.26,721.26,74.00M,1.15%
2022-04-07,716.53,722.07,727.33,715.03,73.47M,-0.44%
2022-04-06,719.67,734.18,734.46,715.37,89.69M,-2.22%
2022-04-05,736.02,741.31,743.05,732.94,77.32M,-0.24%
2022-04-04,737.8,732.18,739.22,728.31,64.64M,1.35%
2022-04-01,728,725.99,731.63,723.32,68.56M,0.52%
2022-03-31,724.2,732.59,735.59,724.2,78.13M,-1.32%
2022-03-30,733.88,735.53,735.53,730.64,73.58M,-0.17%
2022-03-29,735.15,729.6,739.27,728.96,107.27M,2.05%
2022-03-28,720.36,724.36,729.96,720.36,80.30M,-0.49%
2022-03-25,723.9,721.15,728.85,717.92,71.45M,0.42%
2022-03-24,720.85,722.09,723.92,718.25,76.01M,-0.13%
2022-03-23,721.81,730.84,732.23,718.35,94.84M,-0.89%
2022-03-22,728.27,722.19,730,720.88,84.91M,1.38%
2022-03-21,718.37,715.42,721.09,714.46,76.08M,0.28%
2022-03-18,716.36,709.95,716.47,699.86,158.15M,1.26%
2022-03-17,707.45,708.74,710.53,700.61,93.16M,0.56%
2022-03-16,703.52,688.25,707.22,686.32,130.85M,4.01%
2022-03-15,676.38,666.22,677.33,660,105.71M,0.31%
2022-03-14,674.3,677.24,681.85,670.81,106.45M,-0.07%
2022-03-11,674.8,673.04,688.28,665.15,131.25M,0.44%
2022-03-10,671.85,687.23,687.32,670.05,125.37M,-2.39%
2022-03-09,688.33,670.48,688.33,668.44,153.40M,4.81%
2022-03-08,656.74,660.73,676.94,652.8,158.40M,-1.84%
2022-03-07,669.04,660.35,681.34,653.09,189.66M,-0.40%
2022-03-04,671.73,700.14,701.55,671.68,146.21M,-4.78%
2022-03-03,705.42,721.19,726.34,703.78,119.03M,-2.16%
2022-03-02,721,711.54,726.27,709.44,153.84M,1.06%
2022-03-01,713.46,728.52,731.06,713.46,139.74M,-2.23%
2022-02-28,729.72,716.76,730.93,712.76,155.46M,0.26%
2022-02-25,727.85,714.29,728.75,708.25,138.57M,2.72%
2022-02-24,708.55,701.84,713.32,699.99,174.62M,-2.66%
2022-02-23,727.91,734.18,741.02,726.63,78.33M,-0.55%
2022-02-22,731.96,714.76,737.2,714.76,98.31M,0.31%
2022-02-21,729.73,747.27,747.27,725.36,65.46M,-2.04%
2022-02-18,744.89,751.27,752.77,742.84,79.61M,-0.84%
2022-02-17,751.2,759.48,760.76,748.23,75.05M,-1.02%
2022-02-16,758.92,757.43,763.02,754.53,74.68M,0.49%
2022-02-15,755.22,745.49,755.98,745.4,85.74M,0.98%
2022-02-14,747.89,748.96,749.39,737.98,107.64M,-1.79%
2022-02-11,761.5,754.02,764.65,754.02,84.13M,-0.15%
2022-02-10,762.65,765.79,770.23,758.84,95.67M,-0.95%
2022-02-09,769.94,765.51,771.64,763.88,109.91M,1.87%
2022-02-08,755.79,755.24,757.89,750.7,96.01M,0.01%
2022-02-07,755.69,750.23,758.32,746.02,76.20M,1.14%
2022-02-04,747.17,753.74,756.25,742.01,91.17M,-0.22%
2022-02-03,748.81,763.9,764.06,748.8,109.44M,-2.19%
2022-02-02,765.56,768.76,772.23,765.56,91.69M,0.04%
2022-02-01,765.22,761.91,765.64,759.03,83.44M,1.33%
2022-01-31,755.2,754.33,759.11,749.23,91.19M,1.47%
2022-01-28,744.26,749.21,749.87,734.54,116.59M,-1.26%
2022-01-27,753.79,737.36,758.87,737.36,97.80M,0.18%
2022-01-26,752.43,746.34,756.86,746.34,88.94M,1.70%
2022-01-25,739.86,746.62,747.05,734.42,100.78M,0.16%
2022-01-24,738.66,761.04,764.82,734.71,126.31M,-3.28%
2022-01-21,763.7,763.77,768.71,755.92,99.61M,-1.87%
2022-01-20,778.26,776.09,778.26,770.77,76.86M,0.74%
2022-01-19,772.56,763.02,779.94,761.84,94.54M,0.37%
2022-01-18,769.7,776.57,776.89,766.09,84.51M,-1.49%
2022-01-17,781.32,782.02,784.32,775.08,61.92M,-0.28%
2022-01-14,783.53,783.14,788.33,781.11,77.07M,-0.99%
2022-01-13,791.33,789.74,796.12,788.46,79.88M,0.11%
2022-01-12,790.44,788.66,794.13,785.6,98.73M,1.03%
2022-01-11,782.35,781.89,783.73,777.36,65.65M,1.19%
2022-01-10,773.13,792.1,792.42,770.31,72.34M,-1.94%
2022-01-07,788.43,788.95,789.94,783.63,70.80M,0.32%
2022-01-06,785.9,786.92,789.28,779.84,67.48M,-1.85%
2022-01-05,800.75,802.5,805.66,799.58,65.15M,-0.44%
2022-01-04,804.28,808.76,812.55,802.28,75.42M,0.12%
2022-01-03,803.31,802.5,805.85,800.62,47.97M,0.67%
2021-12-31,797.93,799.65,800.66,796.59,15.66M,-0.29%
2021-12-30,800.25,797.68,800.83,797.13,32.33M,0.52%
2021-12-29,796.12,801.5,802.28,793.56,40.01M,-0.60%
2021-12-28,800.95,796.99,803.59,796.61,38.42M,0.46%
2021-12-27,797.3,788.84,798.51,788.4,32.15M,0.86%
2021-12-24,790.48,791.84,793.34,790.48,13.87M,-0.23%
2021-12-23,792.3,787.55,793.2,784.37,61.97M,1.31%
2021-12-22,782.08,777.63,782.08,773.95,50.75M,0.92%
2021-12-21,774.95,771.54,775.97,768.74,74.10M,1.56%
2021-12-20,763.03,757.25,765.51,755.57,83.88M,-1.12%
