Date,Price,Open,High,Low,Vol.,Change %
2022-06-01,"3,854.14","3,911.67","3,914.89","3,849.67",5.85M,-1.03%
2022-05-31,"3,894.33","3,943.92","3,943.92","3,890.08",32.49M,-1.35%
2022-05-30,"3,947.73","3,964.45","3,985.49","3,940.43",4.54M,0.06%
2022-05-27,"3,945.31","3,924.42","3,945.31","3,907.27",5.25M,0.75%
2022-05-26,"3,915.89","3,915.08","3,934.72","3,911.49",4.30M,0.09%
2022-05-25,"3,912.25","3,919.04","3,936.94","3,875.11",5.50M,0.50%
2022-05-24,"3,892.83","3,896.17","3,945.63","3,892.83",5.63M,-1.16%
2022-05-23,"3,938.45","3,965.89","3,967.22","3,906.06",5.81M,0.39%
2022-05-20,"3,923.17","3,928.73","3,952.53","3,912.31",6.17M,0.78%
2022-05-19,"3,892.73","3,918.66","3,926.85","3,872.52",26.43M,-1.88%
2022-05-18,"3,967.23","4,018.75","4,031.77","3,962.92",27.60M,-1.13%
2022-05-17,"4,012.77","3,983.94","4,024.38","3,976.26",29.10M,1.13%
2022-05-16,"3,967.83","3,931.18","3,970.00","3,909.31",25.98M,0.59%
2022-05-13,"3,944.56","3,972.13","3,974.90","3,902.50",34.48M,0.37%
2022-05-12,"3,930.21","3,888.86","3,944.31","3,862.82",33.95M,-0.71%
2022-05-11,"3,958.30","3,927.79","3,960.55","3,893.24",33.03M,1.45%
2022-05-10,"3,901.59","3,866.08","3,956.00","3,858.47",32.14M,0.46%
2022-05-09,"3,883.77","3,993.61","4,015.96","3,883.77",29.04M,-3.42%
2022-05-06,"4,021.28","4,078.28","4,090.39","3,987.67",39.21M,-1.85%
2022-05-05,"4,097.20","4,137.06","4,155.17","4,094.14",-,0.78%
2022-05-04,"4,065.34","4,090.90","4,109.98","4,058.28",30.45M,-0.31%
2022-05-03,"4,077.81","4,071.77","4,090.32","4,053.94",24.66M,0.47%
2022-05-02,"4,058.74","4,068.38","4,085.71","3,891.44",-,-1.16%
2022-04-29,"4,106.37","4,120.08","4,146.45","4,099.45",29.20M,0.33%
2022-04-28,"4,092.72","4,124.50","4,143.53","4,073.82",29.48M,-0.35%
2022-04-27,"4,107.13","4,089.41","4,130.14","4,056.34",35.07M,-0.12%
2022-04-26,"4,112.08","4,163.53","4,175.29","4,112.08",-,-0.30%
2022-04-25,"4,124.27","4,117.96","4,140.02","4,095.03",-,-1.51%
2022-04-22,"4,187.41","4,212.04","4,238.68","4,187.41",26.31M,-1.84%
2022-04-21,"4,266.01","4,257.51","4,294.25","4,255.05",25.23M,0.20%
2022-04-20,"4,257.66","4,216.97","4,266.54","4,212.37",28.40M,1.13%
2022-04-19,"4,210.15","4,208.30","4,215.78","4,182.38",23.28M,-0.15%
2022-04-14,"4,216.29","4,193.51","4,220.68","4,187.39",22.50M,0.58%
2022-04-13,"4,192.13","4,168.89","4,193.82","4,163.95",20.43M,0.17%
2022-04-12,"4,185.03","4,139.71","4,195.09","4,124.87",28.81M,-0.07%
2022-04-11,"4,188.00","4,198.58","4,213.13","4,178.90",22.65M,-0.79%
2022-04-08,"4,221.39","4,191.00","4,221.39","4,185.86",24.38M,1.40%
2022-04-07,"4,163.15","4,177.16","4,216.46","4,157.13",28.37M,0.05%
2022-04-06,"4,161.14","4,237.32","4,237.32","4,144.60",35.03M,-1.92%
2022-04-05,"4,242.80","4,228.93","4,253.68","4,215.70",27.57M,0.37%
2022-04-04,"4,227.34","4,210.07","4,229.53","4,190.21",21.18M,0.65%
2022-04-01,"4,200.01","4,178.32","4,210.32","4,163.23",21.69M,0.99%
2022-03-31,"4,158.78","4,204.77","4,209.81","4,158.78",29.02M,-0.96%
2022-03-30,"4,198.89","4,191.43","4,198.89","4,162.21",28.82M,0.03%
2022-03-29,"4,197.51","4,173.18","4,212.00","4,167.63",50.52M,1.61%
2022-03-28,"4,130.93","4,125.73","4,175.02","4,124.97",31.27M,0.28%
2022-03-25,"4,119.42","4,123.29","4,138.83","4,101.62",24.77M,0.13%
2022-03-24,"4,114.12","4,140.81","4,151.52","4,092.83",29.70M,-0.36%
2022-03-23,"4,129.19","4,181.33","4,186.99","4,120.72",29.42M,-0.95%
2022-03-22,"4,168.85","4,140.67","4,168.85","4,139.02",31.20M,0.95%
2022-03-21,"4,129.55","4,131.42","4,145.01","4,116.71",27.63M,-0.43%
2022-03-18,"4,147.45","4,107.71","4,147.45","4,059.67",21.37M,0.89%
2022-03-17,"4,110.78","4,108.67","4,128.06","4,075.62",7.34M,0.61%
2022-03-16,"4,085.71","4,031.29","4,102.49","4,026.76",9.77M,3.14%
2022-03-15,"3,961.16","3,948.58","3,972.96","3,902.23",8.14M,-0.21%
