Date,Price,Open,High,Low,Vol.,Change %
2022-06-01,"2,568.76","2,554.28","2,585.78","2,554.28",3.52B,0.85%
2022-05-31,"2,547.09","2,538.89","2,553.51","2,527.72",4.56B,0.79%
2022-05-30,"2,527.15","2,466.88","2,539.12","2,466.70",3.65B,3.62%
2022-05-27,"2,438.84","2,454.41","2,470.04","2,434.17",3.41B,-0.49%
2022-05-26,"2,450.84","2,422.80","2,455.73","2,421.15",3.02B,1.35%
2022-05-25,"2,418.10","2,386.71","2,423.83","2,383.94",2.93B,1.81%
2022-05-24,"2,375.00","2,392.05","2,399.31","2,372.83",2.75B,-0.25%
2022-05-23,"2,380.90","2,392.34","2,397.91","2,346.12",3.53B,0.36%
2022-05-20,"2,372.35","2,389.75","2,407.26","2,372.35",3.08B,-0.89%
2022-05-18,"2,393.61","2,390.78","2,411.57","2,382.07",2.91B,-0.05%
2022-05-17,"2,394.83","2,401.23","2,416.76","2,380.10",2.87B,0.17%
2022-05-16,"2,390.79","2,419.06","2,424.54","2,390.79",2.77B,-1.18%
2022-05-13,"2,419.23","2,416.04","2,426.94","2,397.27",2.49B,1.18%
2022-05-12,"2,390.98","2,429.00","2,430.09","2,361.77",3.51B,-2.57%
2022-05-11,"2,453.94","2,498.24","2,500.89","2,428.75",3.16B,-1.45%
2022-05-10,"2,490.17","2,478.49","2,494.64","2,478.49",3.13B,0.99%
2022-05-09,"2,465.71","2,461.94","2,480.57","2,441.59",3.00B,0.28%
2022-05-06,"2,458.72","2,460.87","2,470.61","2,433.32",2.94B,-0.31%
2022-05-05,"2,466.26","2,460.80","2,491.55","2,460.07",3.10B,1.47%
2022-04-29,"2,430.55","2,433.34","2,442.79","2,404.69",2.97B,0.09%
2022-04-28,"2,428.42","2,460.32","2,477.94","2,427.86",3.19B,-0.94%
2022-04-27,"2,451.43","2,418.30","2,453.69","2,399.00",3.50B,1.37%
2022-04-26,"2,418.30","2,498.11","2,510.27","2,402.30",4.19B,-2.59%
2022-04-25,"2,482.60","2,472.50","2,498.77","2,428.65",4.14B,0.41%
2022-04-22,"2,472.50","2,550.11","2,561.00","2,465.51",4.81B,-3.30%
2022-04-21,"2,556.81","2,531.68","2,562.28","2,531.20",4.77B,1.22%
2022-04-20,"2,525.93","2,525.92","2,536.49","2,502.43",4.12B,0.27%
2022-04-19,"2,519.24","2,524.02","2,533.33","2,490.96",5.16B,0.36%
2022-04-18,"2,510.31","2,502.65","2,515.35","2,490.57",4.57B,0.64%
2022-04-15,"2,494.37","2,475.21","2,497.41","2,471.73",3.44B,0.77%
2022-04-14,"2,475.41","2,480.92","2,485.32","2,461.54",4.93B,0.61%
2022-04-13,"2,460.43","2,482.66","2,497.83","2,435.14",5.35B,-0.14%
2022-04-12,"2,463.76","2,449.34","2,474.70","2,421.54",6.20B,0.60%
2022-04-11,"2,449.11","2,402.21","2,450.16","2,400.92",6.38B,2.33%
2022-04-08,"2,393.39","2,361.15","2,395.02","2,361.03",4.83B,2.05%
2022-04-07,"2,345.20","2,329.06","2,350.80","2,329.06",3.55B,1.24%
2022-04-06,"2,316.40","2,328.45","2,348.17","2,308.27",3.87B,-0.43%
2022-04-05,"2,326.29","2,317.48","2,343.49","2,303.67",4.70B,0.64%
2022-04-04,"2,311.40","2,264.47","2,311.40","2,264.47",4.60B,2.65%
2022-04-01,"2,251.68","2,238.73","2,255.14","2,230.35",3.59B,0.82%
2022-03-31,"2,233.30","2,236.21","2,245.03","2,220.79",3.14B,0.14%
2022-03-30,"2,230.15","2,212.78","2,233.53","2,212.78",3.58B,1.07%
