Date,Price,Open,High,Low,Vol.,Change %
2022-06-01,"55,381.17","55,588.27","55,791.49","55,091.43",7.33M,-0.33%
2022-05-31,"55,566.41","55,622.01","55,925.62","55,369.14",8.27M,-0.64%
2022-05-30,"55,925.74","55,507.75","56,082.65","55,466.30",5.94M,1.90%
2022-05-27,"54,884.66","54,671.50","54,936.63","54,449.34",7.04M,1.17%
2022-05-26,"54,252.53","53,950.84","54,346.22","53,425.25",7.48M,0.94%
2022-05-25,"53,749.26","54,254.07","54,379.59","53,683.16",6.15M,-0.56%
2022-05-24,"54,052.61","54,307.56","54,524.37","53,886.28",5.62M,-0.43%
2022-05-23,"54,288.61","54,459.95","54,931.30","54,191.55",7.09M,-0.07%
2022-05-20,"54,326.39","53,513.97","54,396.43","53,403.29",7.58M,2.91%
2022-05-19,"52,792.23","53,070.30","53,356.04","52,669.51",9.15M,-2.61%
2022-05-18,"54,208.53","54,554.89","54,786.00","54,130.89",5.81M,-0.20%
2022-05-17,"54,318.47","53,285.19","54,399.42","53,176.02",7.44M,2.54%
2022-05-16,"52,973.84","52,946.32","53,428.28","52,632.48",4.77M,0.34%
2022-05-13,"52,793.62","53,565.74","53,785.71","52,654.89",9.28M,-0.26%
2022-05-12,"52,930.31","53,608.35","53,613.99","52,704.81",6.86K,-2.14%
2022-05-11,"54,088.39","54,544.91","54,598.55","53,519.30",7.17M,-0.51%
2022-05-10,"54,364.85","54,309.31","54,857.02","54,226.33",8.04M,-0.19%
2022-05-09,"54,470.67","54,188.21","54,795.47","53,918.02",9.26M,-0.67%
2022-05-06,"54,835.58","54,928.29","55,070.12","54,586.75",8.05M,-1.56%
2022-05-05,"55,702.23","56,255.07","56,566.80","55,613.82",8.22M,0.06%
2022-05-04,"55,669.03","57,124.91","57,184.21","55,501.60",50.75M,-2.29%
2022-05-02,"56,975.99","56,429.45","57,054.23","56,412.62",7.92M,-0.15%
2022-04-29,"57,060.87","57,817.51","57,975.48","56,902.30",9.50M,-0.80%
2022-04-28,"57,521.06","57,296.31","57,790.85","56,936.94",7.11M,1.23%
2022-04-27,"56,819.39","56,983.68","57,079.03","56,584.04",6.57M,-0.94%
2022-04-26,"57,356.61","57,064.49","57,439.06","56,913.99",7.34K,1.37%
2022-04-25,"56,579.89","56,761.85","56,875.65","56,358.48",7.05K,-1.08%
2022-04-22,"57,197.15","57,531.95","57,689.86","57,134.72",7.58M,-1.23%
2022-04-21,"57,911.68","57,458.60","57,991.53","57,311.86",8.00M,1.53%
2022-04-20,"57,037.50","56,741.43","57,216.51","56,521.33",7.58M,1.02%
2022-04-19,"56,463.15","57,381.77","57,464.08","56,009.07",13.46M,-1.23%
2022-04-18,"57,166.74","57,338.58","57,420.80","56,842.39",13.46M,-2.01%
2022-04-13,"58,338.93","58,910.74","59,003.82","58,291.23",6.62M,-0.41%
2022-04-12,"58,576.37","58,746.10","58,793.05","58,300.87",7.47K,-0.66%
2022-04-11,"58,964.57","59,333.18","59,355.76","58,894.40",8.97M,-0.81%
2022-04-08,"59,447.18","59,256.97","59,654.44","58,876.36",8.43M,0.70%
2022-04-07,"59,034.95","59,402.61","59,504.92","58,977.35",8.27M,-0.97%
2022-04-06,"59,610.41","59,815.71","59,941.57","59,509.84",10.58M,-0.94%
2022-04-05,"60,176.50","60,786.07","60,786.07","60,067.18",6.76M,-0.72%
2022-04-04,"60,611.74","59,764.13","60,845.10","59,760.22",12.57M,2.25%
2022-04-01,"59,276.69","58,530.73","59,396.62","58,450.04",6.42M,1.21%
2022-03-31,"58,568.51","58,779.71","58,890.92","58,485.79",4.38M,-0.20%
2022-03-30,"58,683.99","58,362.85","58,727.78","58,176.00",6.28M,1.28%
2022-03-29,"57,943.65","57,814.76","58,001.53","57,639.35",12.06M,0.61%
2022-03-28,"57,593.49","57,472.72","57,638.34","56,825.09",6.30M,0.40%
2022-03-25,"57,362.20","57,801.72","57,845.37","57,100.24",6.85M,-0.41%
2022-03-24,"57,595.68","57,190.05","57,827.99","57,138.51",51.43M,-0.15%
2022-03-23,"57,684.82","58,198.64","58,416.56","57,568.59",9.11M,-0.53%
2022-03-22,"57,989.30","57,297.57","58,052.87","56,930.30",7.83M,1.22%
2022-03-21,"57,292.49","58,030.41","58,127.95","57,229.08",6.37M,-0.99%
2022-03-17,"57,863.93","57,620.28","58,095.84","57,518.06",7.15M,1.84%
2022-03-16,"56,816.65","56,578.51","56,857.50","56,390.50",6.87K,1.86%
2022-03-15,"55,776.85","56,663.87","56,720.60","55,418.95",8.14M,-1.26%
2022-03-14,"56,486.02","55,614.40","56,545.83","55,556.47",9.07M,1.68%
2022-03-11,"55,550.30","55,218.78","55,833.95","55,049.95",9.67M,0.15%
2022-03-10,"55,464.39","56,242.47","56,242.47","54,982.82",9.82M,1.50%
2022-03-09,"54,647.33","53,793.99","54,893.73","53,367.52",14.06M,2.29%
2022-03-08,"53,424.09","52,430.06","53,484.26","52,260.82",16.28M,1.10%
2022-03-07,"52,842.75","53,172.51","53,203.87","52,367.10",17.11M,-2.74%
2022-03-04,"54,333.81","54,653.59","55,013.27","53,887.72",10.99M,-1.40%
2022-03-03,"55,102.68","55,914.45","55,995.41","54,933.12",9.91K,-0.66%
2022-03-02,"55,468.90","55,629.30","55,755.09","55,020.10",12.44M,-1.38%
2022-02-28,"56,247.28","55,329.46","56,324.54","54,833.50",7.73M,0.70%
2022-02-25,"55,858.52","55,321.72","56,183.70","55,299.28",9.87M,2.44%
2022-02-24,"54,529.91","55,418.45","55,996.09","54,383.20",15.60M,-4.72%
2022-02-23,"57,232.06","57,632.94","57,733.37","57,109.24",6.19M,-0.12%
2022-02-22,"57,300.68","56,438.64","57,505.85","56,394.85",14.14M,-0.66%
2022-02-21,"57,683.59","57,563.80","58,141.38","57,170.58",6.63K,-0.26%
2022-02-18,"57,832.97","57,488.39","58,175.35","57,488.39",9.83M,-0.10%
2022-02-17,"57,892.01","58,217.69","58,346.00","57,635.43",6.44M,-0.18%
2022-02-16,"57,996.68","58,310.68","58,569.22","57,780.28",7.29M,-0.25%
2022-02-15,"58,142.05","56,731.56","58,211.38","56,438.47",9.96M,3.08%
2022-02-14,"56,405.84","56,720.32","57,191.91","56,295.70",8.34M,-3.00%
2022-02-11,"58,152.92","58,447.15","58,447.15","57,914.10",5.71M,-1.31%
2022-02-10,"58,926.03","58,810.53","59,060.24","58,332.28",6.68M,0.79%
2022-02-09,"58,465.97","58,163.01","58,507.61","58,105.18",5.88M,1.14%
2022-02-08,"57,808.58","57,799.67","57,925.82","57,058.77",8.91M,0.33%
2022-02-07,"57,621.19","58,505.08","58,707.40","57,303.60",11.54K,-1.75%
2022-02-04,"58,644.82","58,918.65","58,943.62","58,446.95",7.27M,-0.24%
2022-02-03,"58,788.02","59,528.16","59,557.87","58,653.94",7.08M,-1.29%
2022-02-02,"59,558.33","59,289.38","59,617.35","59,196.26",8.55K,1.18%
2022-02-01,"58,862.57","58,679.23","59,031.64","57,739.86",13.96K,1.46%
2022-01-31,"58,014.17","57,845.91","58,257.63","57,746.15",7.37M,1.42%
2022-01-28,"57,200.23","57,795.11","58,084.33","57,119.28",13.02M,-0.13%
2022-01-27,"57,276.94","57,317.38","57,508.61","56,439.36",10.28M,-1.00%
2022-01-25,"57,858.15","57,158.63","57,966.93","56,409.63",10.44M,0.64%
2022-01-24,"57,491.51","59,023.97","59,023.97","56,984.01",10.79M,-2.62%
2022-01-21,"59,037.18","59,039.37","59,329.63","58,620.93",7.60M,-0.72%
2022-01-20,"59,464.62","60,045.48","60,045.48","59,068.31",11.80M,-1.06%
2022-01-19,"60,098.82","60,845.59","60,870.17","59,949.22",6.96M,-1.08%
2022-01-18,"60,754.86","61,430.77","61,475.15","60,662.57",12.46M,-0.90%
2022-01-17,"61,308.91","61,219.64","61,385.48","61,107.60",7.62M,0.14%
2022-01-14,"61,223.03","61,040.32","61,324.59","60,757.03",6.94M,-0.02%
2022-01-13,"61,235.30","61,259.99","61,348.57","60,949.81",9.33M,0.14%
2022-01-12,"61,150.04","61,014.37","61,216.32","60,859.88",6.25K,0.88%
2022-01-11,"60,616.89","60,342.70","60,689.25","60,281.52",6.45M,0.37%
2022-01-10,"60,395.63","60,064.89","60,425.98","59,990.81",7.57K,1.09%
2022-01-07,"59,744.65","59,776.10","60,130.18","59,401.44",8.30M,0.24%
2022-01-06,"59,601.84","59,726.54","59,772.45","59,291.49",6.02K,-1.03%
2022-01-05,"60,223.15","59,927.54","60,327.16","59,667.61",8.61K,0.61%
2022-01-04,"59,855.93","59,343.79","59,936.32","59,086.95",9.11K,1.14%
2022-01-03,"59,183.22","58,310.09","59,266.39","58,306.45",8.20M,1.60%
2021-12-31,"58,253.82","57,849.76","58,409.30","57,846.52",7.00M,0.80%
2021-12-30,"57,794.32","57,755.40","58,010.03","57,578.99",7.26M,-0.02%
2021-12-29,"57,806.49","57,892.31","58,097.07","57,684.58",5.28M,-0.16%
2021-12-28,"57,897.48","57,736.47","57,951.29","57,653.92",5.45K,0.83%
2021-12-27,"57,420.24","56,948.33","57,512.01","56,543.08",5.66M,0.52%
2021-12-24,"57,124.31","57,567.11","57,623.69","56,813.42",6.41M,-0.33%
2021-12-23,"57,315.28","57,251.15","57,490.52","57,146.28",6.05M,0.68%
2021-12-22,"56,930.56","56,599.47","56,989.01","56,471.03",6.08M,1.09%
2021-12-21,"56,319.01","56,320.87","56,899.81","56,049.77",7.45K,0.89%
2021-12-20,"55,822.01","56,513.55","56,517.26","55,133.40",13.33K,-2.09%
2021-12-17,"57,011.74","58,021.63","58,062.28","56,950.98",8.57M,-1.54%
2021-12-16,"57,901.14","58,211.72","58,301.27","57,683.80",5.20K,0.20%
2021-12-15,"57,788.03","58,108.77","58,214.20","57,674.93",7.59K,-0.57%
2021-12-14,"58,117.09","58,056.51","58,321.79","57,805.27",6.77K,-0.29%
2021-12-13,"58,283.42","59,103.72","59,202.73","58,245.00",5.87K,-0.86%
2021-12-10,"58,786.67","58,696.71","58,859.91","58,414.76",5.58M,-0.03%
2021-12-09,"58,807.13","58,831.41","58,889.96","58,340.85",7.93M,0.27%
2021-12-08,"58,649.68","58,158.56","58,702.65","58,122.27",13.41M,1.76%
2021-12-07,"57,633.65","57,125.98","57,905.63","56,992.27",10.89M,1.56%
2021-12-06,"56,747.14","57,778.01","57,781.46","56,687.62",7.24M,-1.65%
2021-12-03,"57,696.46","58,555.58","58,757.09","57,640.57",8.48M,-1.31%
2021-12-02,"58,461.29","57,781.48","58,513.93","57,680.41",8.15M,1.35%
2021-12-01,"57,684.79","57,363.96","57,845.47","57,352.31",11.75K,1.09%
2021-11-30,"57,064.87","57,272.08","58,183.77","56,867.51",8.06M,-0.34%
2021-11-29,"57,260.58","57,028.04","57,626.51","56,382.93",8.36M,0.27%
2021-11-26,"57,107.15","58,254.79","58,254.79","56,993.89",8.39M,-2.87%
2021-11-25,"58,795.09","58,363.93","58,901.58","58,143.86",6.77M,0.78%
2021-11-24,"58,340.99","58,839.32","58,968.12","58,143.44",8.75M,-0.55%
2021-11-23,"58,664.33","57,983.95","58,834.95","57,718.34",11.97M,0.34%
2021-11-22,"58,465.89","59,710.48","59,778.37","58,011.92",10.58M,-1.96%
2021-11-18,"59,636.01","59,968.75","60,177.52","59,376.50",7.81M,-0.62%
2021-11-17,"60,008.33","60,179.93","60,426.61","59,944.77",19.87M,-0.52%
2021-11-16,"60,322.37","60,755.38","60,802.79","60,199.56",6.34M,-0.65%
2021-11-15,"60,718.71","60,837.40","61,036.56","60,597.36",7.13M,0.05%
2021-11-12,"60,686.69","60,248.04","60,750.72","59,997.96",6.90M,1.28%
2021-11-11,"59,919.69","60,291.70","60,293.25","59,656.26",6.16M,-0.72%
2021-11-10,"60,352.82","60,295.26","60,506.50","59,967.45",7.46M,-0.13%
2021-11-09,"60,433.45","60,609.72","60,670.47","60,213.64",6.17M,-0.19%
2021-11-08,"60,545.61","60,385.76","60,609.16","59,779.19",7.49M,0.80%
2021-11-04,"60,067.62","60,207.97","60,207.97","60,011.46",1.84M,0.49%
2021-11-03,"59,771.92","60,275.21","60,361.82","59,552.49",8.51M,-0.43%
2021-11-02,"60,029.06","60,360.61","60,421.14","59,881.75",6.02M,-0.18%
2021-11-01,"60,138.46","59,577.48","60,220.21","59,355.12",7.21M,1.40%
2021-10-29,"59,306.93","59,857.33","60,132.81","59,089.37",8.96M,-1.13%
2021-10-28,"59,984.70","61,081.00","61,081.00","59,777.58",8.60M,-1.89%
2021-10-27,"61,143.33","61,493.84","61,574.75","60,990.15",8.91K,-0.34%
2021-10-26,"61,350.26","60,997.90","61,497.71","60,791.29",6.73M,0.63%
2021-10-25,"60,967.05","61,373.97","61,398.75","60,457.01",10.53K,0.24%
2021-10-22,"60,821.62","61,044.54","61,420.13","60,551.15",9.39M,-0.17%
2021-10-21,"60,923.50","61,557.94","61,621.20","60,485.65",7.27M,-0.55%
2021-10-20,"61,259.96","61,800.07","61,880.36","61,109.29",48.39M,-0.74%
2021-10-19,"61,716.05","62,156.48","62,245.43","61,594.29",8.58M,-0.08%
2021-10-18,"61,765.59","61,817.32","61,963.07","61,624.65",11.84M,0.75%
2021-10-14,"61,305.95","61,088.82","61,353.25","60,978.04",12.60M,0.94%
2021-10-13,"60,737.05","60,619.91","60,836.63","60,452.29",8.48M,0.75%
2021-10-12,"60,284.31","60,045.75","60,331.74","59,885.39",6.49M,0.25%
2021-10-11,"60,135.78","60,099.68","60,476.13","59,811.42",42.49M,0.13%
2021-10-08,"60,059.06","59,960.39","60,212.30","59,830.93",5.66M,0.64%
2021-10-07,"59,677.83","59,632.81","59,914.91","59,597.06",5.69M,0.82%
2021-10-06,"59,189.73","59,942.00","59,963.57","59,079.86",6.95M,-0.93%
2021-10-05,"59,744.88","59,320.14","59,778.87","59,127.04",12.92M,0.75%
2021-10-04,"59,299.32","59,143.00","59,548.82","58,952.11",9.96M,0.91%
2021-10-01,"58,765.58","58,889.77","58,890.08","58,551.14",10.19M,-0.61%
2021-09-30,"59,126.36","59,549.57","59,557.24","59,019.28",8.91M,-0.48%
2021-09-29,"59,413.27","59,296.54","59,678.66","59,111.41",16.07M,-0.43%
