Date,Price,Open,High,Low,Vol.,Change %
2022-06-01,"111,360","111,351","111,931","110,822",9.79M,0.01%
2022-05-31,"111,351","111,036","111,903","110,685",15.81M,0.29%
2022-05-30,"111,032","111,944","112,690","110,655",7.28M,-0.81%
2022-05-27,"111,942","111,890","112,441","111,558",9.98M,0.05%
2022-05-26,"111,890","110,577","112,102","110,388",13.08M,1.18%
2022-05-25,"110,580","110,580","111,006","109,699",10.74M,0.00%
2022-05-24,"110,581","110,340","110,635","108,399",11.72M,0.21%
2022-05-23,"110,346","108,500","110,680","108,500",10.69M,1.71%
2022-05-20,"108,488","107,056","108,795","107,056",12.87M,1.39%
2022-05-19,"107,005","106,249","107,420","105,760",11.43M,0.71%
2022-05-18,"106,247","108,788","108,923","106,038",14.75M,-2.34%
2022-05-17,"108,789","108,246","109,774","108,245",16.50M,0.51%
2022-05-16,"108,233","106,925","108,795","106,852",10.60M,1.22%
2022-05-13,"106,924","105,691","107,773","105,691",12.37M,1.17%
2022-05-12,"105,688","104,395","105,708","103,579",14.00M,1.24%
2022-05-11,"104,397","103,110","105,374","103,008",13.43M,1.25%
2022-05-10,"103,110","103,251","104,286","102,386",13.51M,-0.14%
2022-05-09,"103,250","105,109","105,109","102,768",13.20M,-1.79%
2022-05-06,"105,135","105,303","106,268","103,984",14.14M,-0.16%
2022-05-05,"105,304","108,337","108,337","103,923",13.83M,-2.81%
2022-05-04,"108,344","106,529","108,382","104,933",14.56M,1.70%
2022-05-03,"106,528","106,640","107,127","106,033",9.94M,-0.10%
2022-05-02,"106,639","107,876","107,884","105,218",11.94M,-1.15%
2022-04-29,"107,876","109,922","111,819","107,876",13.66M,-1.86%
2022-04-28,"109,919","109,349","110,702","108,905",11.13M,0.52%
2022-04-27,"109,349","108,214","110,107","108,214",11.52M,1.05%
2022-04-26,"108,213","110,684","110,685","107,978",11.75M,-2.23%
2022-04-25,"110,685","111,077","111,155","109,222",11.10M,-0.35%
2022-04-22,"111,078","114,343","114,343","110,591",10.88M,-2.86%
2022-04-20,"114,344","115,057","115,057","113,945",10.75M,-0.62%
2022-04-19,"115,057","115,687","115,687","114,277",10.54M,-0.55%
2022-04-18,"115,687","116,182","116,191","115,177",8.40M,-0.43%
2022-04-14,"116,182","116,781","116,781","115,624",10.37M,-0.51%
2022-04-13,"116,782","116,150","117,329","116,150",12.07M,0.55%
2022-04-12,"116,147","116,963","118,615","116,054",11.41M,-0.69%
2022-04-11,"116,953","118,320","118,320","116,953",9.56M,-1.16%
2022-04-08,"118,322","118,861","118,868","117,487",11.23M,-0.45%
2022-04-07,"118,862","118,226","119,247","117,509",11.52M,0.54%
2022-04-06,"118,228","118,885","118,885","116,791",13.41M,-0.55%
