Date,Price,Open,High,Low,Vol.,Change %
2022-06-01,"21,294.94","21,407.79","21,411.95","21,154.04",2.07B,-0.56%
2022-05-31,"21,415.20","21,106.41","21,415.20","21,029.72",3.92B,1.38%
2022-05-30,"21,123.93","20,933.50","21,169.08","20,885.02",2.61B,2.06%
2022-05-27,"20,697.36","20,646.06","20,779.75","20,494.15",2.57B,2.89%
2022-05-26,"20,116.20","20,272.22","20,272.22","19,890.76",1.86B,-0.27%
2022-05-25,"20,171.27","20,115.56","20,370.74","20,067.98",2.10B,0.29%
2022-05-24,"20,112.10","20,420.14","20,509.62","19,989.62",1.83B,-1.75%
2022-05-23,"20,470.06","20,608.65","20,642.76","20,303.55",1.70B,-1.19%
2022-05-20,"20,717.24","20,470.95","20,794.13","20,408.68",2.17B,2.96%
2022-05-19,"20,120.68","20,146.96","20,277.94","19,924.87",2.12B,-2.54%
2022-05-18,"20,644.28","20,674.23","20,711.93","20,389.61",1.95B,0.20%
2022-05-17,"20,602.52","20,193.60","20,626.42","20,169.24",2.21B,3.27%
2022-05-16,"19,950.21","20,131.53","20,173.22","19,764.96",1.80B,0.26%
2022-05-13,"19,898.77","19,615.99","19,925.44","19,608.26",2.08B,2.68%
2022-05-12,"19,380.34","19,556.89","19,731.27","19,342.89",2.27B,-2.24%
2022-05-11,"19,824.57","19,511.80","20,083.49","19,474.03",1.96B,0.97%
2022-05-10,"19,633.69","19,300.68","19,758.63","19,178.89",2.79B,-1.84%
2022-05-06,"20,001.96","20,287.06","20,320.28","19,973.47",2.11B,-3.81%
2022-05-05,"20,793.40","21,163.15","21,284.85","20,776.97",1.83B,-0.36%
2022-05-04,"20,869.52","21,101.89","21,101.89","20,775.20",-,-1.10%
2022-05-03,"21,101.89","20,927.62","21,291.80","20,648.53",1.74B,0.06%
2022-04-29,"21,089.39","20,271.40","21,154.85","20,042.85",-,4.01%
2022-04-28,"20,276.17","19,946.36","20,285.92","19,946.36",-,1.65%
2022-04-27,"19,946.36","19,723.46","20,053.11","19,665.49",2.36B,0.06%
2022-04-26,"19,934.71","19,989.04","20,258.64","19,858.36",2.57B,0.33%
2022-04-25,"19,869.34","20,638.52","20,638.52","19,784.28",-,-3.73%
2022-04-22,"20,638.52","20,261.61","20,709.49","20,184.96",2.35B,-0.21%
2022-04-21,"20,682.22","20,780.86","20,920.60","20,483.86",2.23B,-1.25%
2022-04-20,"20,944.67","20,972.84","21,214.98","20,889.02",1.88B,-0.40%
2022-04-19,"21,027.76","21,106.00","21,191.80","20,896.43",2.24B,-2.28%
2022-04-14,"21,518.08","21,463.35","21,587.47","21,358.73",1.72B,0.67%
2022-04-13,"21,374.37","21,192.62","21,531.48","21,141.06",1.70B,0.26%
2022-04-12,"21,319.13","21,279.18","21,519.13","20,988.20",2.05B,0.52%
2022-04-11,"21,208.30","21,688.03","21,688.03","21,132.54",2.10B,-3.03%
2022-04-08,"21,872.01","21,667.53","21,872.01","21,568.22",1.74B,0.29%
2022-04-07,"21,808.98","21,910.40","22,236.93","21,779.19",2.08B,-1.23%
2022-04-06,"22,080.52","22,220.21","22,244.99","22,015.12",2.75B,-1.87%
2022-04-04,"22,502.31","22,227.11","22,523.64","22,124.03",1.87B,2.10%
2022-04-01,"22,039.55","21,693.10","22,039.55","21,558.05",1.94B,0.19%
2022-03-31,"21,996.85","22,262.16","22,262.16","21,922.58",2.23B,-1.06%
2022-03-30,"22,232.03","22,101.63","22,391.35","22,033.78",2.73B,1.39%
2022-03-29,"21,927.63","21,771.29","21,937.27","21,722.17",2.26B,1.12%
2022-03-28,"21,684.97","21,422.20","21,790.97","21,202.69",2.20B,1.31%
2022-03-25,"21,404.88","21,735.61","21,944.08","21,289.26",2.36B,-2.47%
2022-03-24,"21,945.95","22,002.87","22,231.67","21,900.13",2.40B,-0.94%
2022-03-23,"22,154.08","22,088.79","22,423.51","21,983.10",2.84B,1.21%
2022-03-22,"21,889.28","21,319.19","21,906.32","21,266.90",2.59B,3.15%
2022-03-21,"21,221.34","21,823.07","21,823.07","21,096.31",2.34B,-0.89%
2022-03-18,"21,412.40","21,232.88","21,646.15","20,922.37",4.59B,-0.41%
2022-03-17,"21,501.23","21,430.71","21,501.23","20,786.69",4.83B,7.04%
2022-03-16,"20,087.50","18,956.02","20,120.85","18,584.04",5.50B,9.08%
2022-03-15,"18,415.08","18,931.18","19,392.69","18,235.48",6.01B,-5.72%
2022-03-14,"19,531.66","20,203.84","20,203.84","19,416.78",4.10B,-4.97%
2022-03-11,"20,553.79","20,460.03","20,778.86","20,079.15",3.02B,-1.61%
2022-03-10,"20,890.26","21,106.57","21,114.44","20,709.62",2.69B,1.27%
2022-03-09,"20,627.71","20,820.02","20,957.72","20,102.57",3.67B,-0.67%
2022-03-08,"20,765.87","21,082.39","21,303.52","20,638.95",3.23B,-1.39%
2022-03-07,"21,057.63","21,308.90","21,327.19","20,826.36",3.32B,-3.87%
2022-03-04,"21,905.29","21,879.13","22,017.94","21,838.99",2.44B,-2.50%
2022-03-03,"22,467.34","22,434.26","22,543.42","22,378.11",1.94B,0.55%
2022-03-02,"22,343.92","22,568.36","22,712.44","22,299.14",2.23B,-1.84%
2022-03-01,"22,761.71","22,739.84","22,937.56","22,591.73",1.80B,0.21%
2022-02-28,"22,713.02","22,818.17","22,818.17","22,406.12",2.83B,-0.24%
2022-02-25,"22,767.18","22,908.10","23,046.86","22,718.15",2.52B,-0.59%
2022-02-24,"22,901.56","23,268.03","23,376.37","22,786.39",3.00B,-3.21%
2022-02-23,"23,660.28","23,617.97","23,745.07","23,500.92",1.42B,0.60%
2022-02-22,"23,520.00","23,692.54","23,813.64","23,336.78",2.06B,-2.69%
2022-02-21,"24,170.07","24,109.59","24,231.08","23,998.77",1.62B,-0.65%
2022-02-18,"24,327.71","24,633.66","24,763.37","24,284.53",1.68B,-1.88%
2022-02-17,"24,792.77","24,722.88","24,861.82","24,523.95",1.57B,0.30%
2022-02-16,"24,718.90","24,618.30","24,728.93","24,548.05",1.82B,1.49%
2022-02-15,"24,355.71","24,458.50","24,570.09","24,219.90",2.63B,-0.82%
2022-02-14,"24,556.57","24,725.10","24,733.11","24,482.86",1.98B,-1.41%
2022-02-11,"24,906.66","24,837.20","24,957.81","24,732.65",2.51B,-0.07%
2022-02-10,"24,924.35","25,050.59","25,050.59","24,649.74",2.10B,0.38%
