日期,收盘,开盘,高,低,交易量,涨跌幅
2022年5月31日,"1,681.80","1,681.80","1,681.80","1,681.80",-,-0.40%
2022年5月30日,"1,688.60","1,688.60","1,688.60","1,688.60",-,0.05%
2022年5月27日,"1,687.81","1,687.81","1,687.81","1,687.81",-,0.54%
2022年5月26日,"1,678.69","1,678.69","1,678.69","1,678.69",-,0.10%
2022年5月25日,"1,677.03","1,677.03","1,677.03","1,677.03",-,0.42%
2022年5月24日,"1,669.94","1,669.94","1,669.94","1,669.94",-,-0.14%
2022年5月23日,"1,672.27","1,672.27","1,672.27","1,672.27",-,-0.49%
2022年5月20日,"1,680.53","1,680.53","1,680.53","1,680.53",-,-1.20%
2022年5月19日,"1,700.88","1,700.88","1,700.88","1,700.88",-,-0.64%
2022年5月18日,"1,711.83","1,711.83","1,711.83","1,711.83",-,-1.45%
2022年5月17日,"1,737.09","1,737.09","1,737.09","1,737.09",-,-0.42%
2022年5月16日,"1,744.37","1,744.37","1,744.37","1,744.37",-,-0.16%
2022年5月13日,"1,747.22","1,747.22","1,747.22","1,747.22",-,0.77%
2022年5月12日,"1,733.89","1,733.89","1,733.89","1,733.89",-,-1.17%
2022年5月11日,"1,754.47","1,754.47","1,754.47","1,754.47",-,0.33%
2022年5月10日,"1,748.62","1,748.62","1,748.62","1,748.62",-,-0.31%
2022年5月9日,"1,754.02","1,754.02","1,754.02","1,754.02",-,-0.09%
2022年5月6日,"1,755.57","1,755.57","1,755.57","1,755.57",-,-0.60%
2022年5月5日,"1,766.12","1,766.12","1,766.12","1,766.12",-,-0.85%
2022年5月4日,"1,781.32","1,781.32","1,781.32","1,781.32",-,-1.07%
2022年4月28日,"1,800.64","1,800.64","1,800.64","1,800.64",-,-0.79%
2022年4月27日,"1,815.03","1,815.03","1,815.03","1,815.03",-,-0.70%
2022年4月26日,"1,827.90","1,827.90","1,827.90","1,827.90",-,-1.10%
2022年4月25日,"1,848.31","1,848.31","1,848.31","1,848.31",-,-0.29%
2022年4月22日,"1,853.74","1,853.74","1,853.74","1,853.74",-,-0.22%
2022年4月21日,"1,857.76","1,857.76","1,857.76","1,857.76",-,0.03%
2022年4月20日,"1,857.16","1,857.16","1,857.16","1,857.16",-,-0.01%
2022年4月19日,"1,857.36","1,857.36","1,857.36","1,857.36",-,-0.80%
2022年4月14日,"1,872.39","1,872.39","1,872.39","1,872.39",-,0.61%
2022年4月13日,"1,860.99","1,860.99","1,860.99","1,860.99",-,0.19%
2022年4月12日,"1,857.38","1,857.38","1,857.38","1,857.38",-,0.57%
2022年4月11日,"1,846.80","1,846.80","1,846.80","1,846.80",-,-0.22%
2022年4月8日,"1,850.89","1,850.89","1,850.89","1,850.89",-,-0.27%
2022年4月7日,"1,855.86","1,855.86","1,855.86","1,855.86",-,-0.09%
2022年4月6日,"1,857.44","1,857.44","1,857.44","1,857.44",-,0.08%
2022年4月5日,"1,855.92","1,855.92","1,855.92","1,855.92",-,0.33%
2022年4月4日,"1,849.89","1,849.89","1,849.89","1,849.89",-,0.30%
2022年4月1日,"1,844.27","1,844.27","1,844.27","1,844.27",-,-0.13%
2022年3月31日,"1,846.74","1,846.74","1,846.74","1,846.74",-,-0.34%
2022年3月30日,"1,853.03","1,853.03","1,853.03","1,853.03",-,-0.13%
2022年3月29日,"1,855.35","1,855.35","1,855.35","1,855.35",-,0.38%
2022年3月28日,"1,848.25","1,848.25","1,848.25","1,848.25",-,-0.70%
2022年3月25日,"1,861.25","1,861.25","1,861.25","1,861.25",-,0.03%
2022年3月24日,"1,860.75","1,860.75","1,860.75","1,860.75",-,0.10%
2022年3月23日,"1,858.80","1,858.80","1,858.80","1,858.80",-,-0.15%
2022年3月22日,"1,861.67","1,861.67","1,861.67","1,861.67",-,-0.34%
2022年3月21日,"1,868.07","1,868.07","1,868.07","1,868.07",-,0.41%
2022年3月18日,"1,860.52","1,860.52","1,860.52","1,860.52",-,-0.03%
2022年3月17日,"1,861.13","1,861.13","1,861.13","1,861.13",-,-0.20%
2022年3月16日,"1,864.92","1,864.92","1,864.92","1,864.92",-,-0.15%
2022年3月15日,"1,867.76","1,867.76","1,867.76","1,867.76",-,0.08%
2022年3月14日,"1,866.30","1,866.30","1,866.30","1,866.30",-,0.09%
2022年3月11日,"1,864.58","1,864.58","1,864.58","1,864.58",-,-0.27%
2022年3月10日,"1,869.72","1,869.72","1,869.72","1,869.72",-,-0.77%
2022年3月9日,"1,884.29","1,884.29","1,884.29","1,884.29",-,-0.33%
2022年3月8日,"1,890.59","1,890.59","1,890.59","1,890.59",-,0.06%
2022年3月7日,"1,889.46","1,889.46","1,889.46","1,889.46",-,-0.44%
2022年3月4日,"1,897.90","1,897.90","1,897.90","1,897.90",-,0.19%
2022年3月3日,"1,894.36","1,894.36","1,894.36","1,894.36",-,0.92%
2022年3月2日,"1,877.07","1,877.07","1,877.07","1,877.07",-,-0.28%
2022年3月1日,"1,882.34","1,882.34","1,882.34","1,882.34",-,-0.23%
2022年2月28日,"1,886.75","1,886.75","1,886.75","1,886.75",-,0.18%
2022年2月25日,"1,883.33","1,883.33","1,883.33","1,883.33",-,-0.50%
2022年2月24日,"1,892.83","1,892.83","1,892.83","1,892.83",-,-1.06%
2022年2月23日,"1,913.15","1,913.15","1,913.15","1,913.15",-,-0.15%
2022年2月22日,"1,915.95","1,915.95","1,915.95","1,915.95",-,-0.17%
2022年2月21日,"1,919.21","1,919.21","1,919.21","1,919.21",-,0.15%
2022年2月18日,"1,916.42","1,916.42","1,916.42","1,916.42",-,0.68%
2022年2月17日,"1,903.54","1,903.54","1,903.54","1,903.54",-,0.15%
2022年2月16日,"1,900.71","1,900.71","1,900.71","1,900.71",-,0.24%
