日期,收盘,开盘,高,低,交易量,涨跌幅
2022年6月1日,"14,082.90","14,132.10","14,186.90","14,009.05",1.37B,-0.26%
2022年5月31日,"14,119.60","14,106.00","14,215.45","14,067.05",2.59B,-0.25%
2022年5月30日,"14,154.80","14,022.60","14,163.05","14,009.65",1.40B,2.03%
2022年5月27日,"13,873.15","13,839.30","13,885.05","13,768.30",1.25B,1.10%
2022年5月26日,"13,722.55","13,651.55","13,756.85","13,445.25",1.68B,0.99%
2022年5月25日,"13,587.75","13,805.10","13,821.40","13,574.50",1.37B,-1.16%
2022年5月24日,"13,747.25","13,858.05","13,883.55","13,709.40",1.57B,-0.64%
2022年5月23日,"13,835.80","13,929.75","14,005.50","13,813.60",1.57B,-0.43%
2022年5月20日,"13,895.05","13,755.05","13,906.40","13,733.55",1.40B,2.54%
2022年5月19日,"13,550.90","13,625.75","13,680.65","13,520.95",1.52B,-2.64%
2022年5月18日,"13,918.20","13,989.35","14,064.00","13,896.60",1.59B,-0.06%
2022年5月17日,"13,926.05","13,648.45","13,944.70","13,632.15",1.54B,2.61%
2022年5月16日,"13,571.20","13,540.25","13,646.30","13,434.45",1.50B,0.74%
2022年5月13日,"13,471.50","13,621.20","13,738.55","13,435.05",1.73B,0.05%
2022年5月12日,"13,465.25","13,656.95","13,671.00","13,389.75",1.83B,-2.23%
2022年5月11日,"13,771.80","13,888.15","13,949.10","13,589.35",1.79B,-0.61%
2022年5月10日,"13,855.95","13,953.95","14,068.40","13,823.35",1.35B,-0.97%
2022年5月9日,"13,991.75","14,002.75","14,088.30","13,879.55",1.42B,-1.09%
2022年5月6日,"14,145.75","14,159.10","14,205.00","14,073.45",1.53B,-1.73%
2022年5月5日,"14,395.50","14,542.15","14,606.05","14,365.55",1.35B,0.01%
2022年5月4日,"14,393.35","14,771.45","14,798.30","14,343.60",1.62B,-2.33%
2022年5月2日,"14,736.30","14,647.25","14,751.05","14,617.75",1.41B,-0.32%
2022年4月29日,"14,783.35","14,991.45","15,011.70","14,743.35",1.61B,-0.88%
2022年4月28日,"14,913.90","14,867.05","14,957.60","14,766.15",1.61M,1.07%
2022年4月27日,"14,756.00","14,797.35","14,825.55","14,678.95",1.54B,-0.96%
