日期,收盘,开盘,高,低,交易量,涨跌幅
2022年6月1日,"1,682.11","1,688.62","1,695.90","1,662.78",11.87M,-0.59%
2022年5月31日,"1,692.09","1,697.90","1,705.44","1,676.58",45.74M,-0.92%
2022年5月30日,"1,707.72","1,674.46","1,718.42","1,674.46",16.89M,4.16%
2022年5月25日,"1,639.58","1,654.32","1,660.22","1,638.39",14.58M,-0.31%
2022年5月24日,"1,644.72","1,635.19","1,668.13","1,634.93",16.76M,-0.76%
2022年5月23日,"1,657.29","1,681.80","1,689.34","1,654.40",11.70M,-0.68%
2022年5月20日,"1,668.62","1,627.01","1,669.71","1,626.82",13.63M,3.22%
2022年5月19日,"1,616.58","1,616.23","1,623.50","1,594.53",13.80M,-1.42%
2022年5月18日,"1,639.85","1,664.07","1,673.37","1,629.35",12.22M,-0.65%
2022年5月17日,"1,650.61","1,630.55","1,664.61","1,626.24",12.15M,1.76%
2022年5月16日,"1,621.99","1,592.96","1,643.19","1,592.96",13.99M,0.38%
2022年5月12日,"1,615.80","1,598.57","1,615.80","1,575.88",14.50M,-0.20%
2022年5月11日,"1,619.05","1,635.16","1,637.32","1,595.17",13.83M,-0.66%
2022年5月10日,"1,629.85","1,622.38","1,648.68","1,601.72",15.14M,0.71%
2022年5月9日,"1,618.43","1,689.06","1,694.95","1,618.43",15.74M,-4.42%
2022年5月6日,"1,693.29","1,731.89","1,736.34","1,684.90",18.47M,-2.86%
2022年5月5日,"1,743.10","1,765.21","1,775.59","1,736.43",13.68M,0.10%
2022年5月4日,"1,741.43","1,757.26","1,764.97","1,737.39",15.57M,-0.50%
2022年5月3日,"1,750.10","1,781.29","1,781.81","1,743.27",11.59M,-0.46%
2022年5月2日,"1,758.23","1,777.92","1,791.86","1,675.44",16.24M,-1.58%
2022年4月29日,"1,786.45","1,740.37","1,800.42","1,739.03",17.76M,3.13%
2022年4月28日,"1,732.31","1,747.35","1,759.55","1,726.43",14.05M,-0.81%
2022年4月27日,"1,746.51","1,721.83","1,759.71","1,710.90",12.81M,1.44%
2022年4月26日,"1,721.80","1,755.38","1,762.23","1,721.80",15.50M,-1.26%
2022年4月25日,"1,743.77","1,719.49","1,752.66","1,710.09",10.45M,-0.01%
2022年4月22日,"1,743.86","1,747.64","1,763.77","1,742.03",20.29M,-1.30%
2022年4月21日,"1,766.75","1,796.37","1,803.78","1,766.75",11.73M,-1.65%
2022年4月20日,"1,796.45","1,777.28","1,800.02","1,767.85",14.01M,1.05%
2022年4月19日,"1,777.72","1,747.73","1,781.37","1,740.48",13.73M,-0.01%
2022年4月13日,"1,777.96","1,782.06","1,786.05","1,770.40",9.63M,0.67%
2022年4月12日,"1,766.18","1,801.32","1,802.61","1,760.45",12.10M,-1.99%
2022年4月11日,"1,801.95","1,814.02","1,827.97","1,792.84",10.38M,-1.23%
2022年4月8日,"1,824.45","1,830.97","1,833.21","1,804.48",12.24M,0.25%
2022年4月7日,"1,819.97","1,790.59","1,823.98","1,790.59",13.62M,2.19%
2022年4月6日,"1,780.97","1,800.99","1,806.72","1,772.19",12.18M,-1.23%
2022年4月5日,"1,803.16","1,783.01","1,811.01","1,780.44",15.49M,1.89%
2022年4月4日,"1,769.63","1,783.69","1,788.69","1,756.37",12.53M,-0.24%
2022年4月1日,"1,773.83","1,766.99","1,773.93","1,755.88",11.89M,1.08%
2022年3月31日,"1,754.80","1,772.25","1,776.55","1,754.80",13.79M,-0.61%
2022年3月30日,"1,765.50","1,740.54","1,765.76","1,729.76",10.57M,1.58%
2022年3月29日,"1,738.02","1,734.95","1,752.86","1,727.99",12.49M,1.04%
2022年3月28日,"1,720.20","1,689.86","1,723.79","1,682.27",11.01M,1.75%
2022年3月25日,"1,690.64","1,708.71","1,720.40","1,688.93",9.97M,-1.03%
2022年3月24日,"1,708.22","1,734.44","1,743.74","1,708.22",10.21M,-1.81%
2022年3月23日,"1,739.65","1,754.21","1,761.45","1,726.30",12.22M,-0.69%
2022年3月22日,"1,751.79","1,757.78","1,759.39","1,740.08",11.99M,-0.72%
2022年3月21日,"1,764.46","1,759.81","1,771.31","1,749.78",8.91M,0.06%
2022年3月18日,"1,763.46","1,751.58","1,771.57","1,734.82",17.92M,0.86%
2022年3月17日,"1,748.45","1,718.14","1,748.86","1,716.26",14.12M,2.43%
2022年3月16日,"1,707.03","1,700.02","1,718.79","1,678.02",16.99M,2.57%
2022年3月15日,"1,664.31","1,647.81","1,678.00","1,635.33",12.40M,-0.45%
2022年3月14日,"1,671.79","1,654.01","1,681.57","1,630.18",12.85M,0.85%
2022年3月11日,"1,657.63","1,662.70","1,668.10","1,636.04",15.58M,0.16%
2022年3月10日,"1,655.00","1,678.23","1,684.35","1,642.41",15.91M,-1.15%
2022年3月9日,"1,674.19","1,677.02","1,679.65","1,627.34",21.65M,1.42%
2022年3月8日,"1,650.75","1,650.67","1,704.52","1,635.06",21.59M,-0.31%
2022年3月7日,"1,655.90","1,620.79","1,674.67","1,615.84",24.21M,0.23%
2022年3月4日,"1,652.13","1,660.51","1,683.85","1,640.40",17.55M,-1.20%
2022年3月3日,"1,672.17","1,684.15","1,702.51","1,662.56",13.62M,-0.02%
2022年3月2日,"1,672.51","1,692.54","1,709.73","1,664.39",18.77M,-1.26%
2022年3月1日,"1,693.90","1,690.36","1,704.53","1,653.03",19.12M,0.21%
2022年2月28日,"1,690.38","1,626.49","1,691.08","1,624.40",28.98M,2.59%
2022年2月25日,"1,647.78","1,601.10","1,650.87","1,593.56",22.34M,4.28%
2022年2月24日,"1,580.18","1,518.31","1,583.24","1,510.14",16.14M,-0.32%
2022年2月23日,"1,585.30","1,593.74","1,612.33","1,583.39",10.50M,-0.73%
2022年2月22日,"1,596.92","1,542.16","1,614.93","1,540.51",13.68M,0.24%
2022年2月21日,"1,593.17","1,625.49","1,635.44","1,580.68",9.61M,-1.54%
2022年2月18日,"1,618.16","1,655.89","1,659.71","1,618.16",10.81M,-1.92%
2022年2月17日,"1,649.76","1,665.33","1,678.09","1,647.41",10.01M,-0.73%
2022年2月16日,"1,661.81","1,661.91","1,670.72","1,650.54",10.52M,0.07%
2022年2月15日,"1,660.71","1,614.40","1,662.47","1,611.89",12.35M,3.18%
2022年2月14日,"1,609.51","1,612.45","1,617.02","1,586.74",12.64M,-2.19%
2022年2月11日,"1,645.58","1,665.87","1,665.94","1,638.47",11.66M,-2.21%
2022年2月10日,"1,682.74","1,700.61","1,712.69","1,670.50",13.08M,-0.50%
2022年2月9日,"1,691.22","1,632.96","1,691.80","1,632.91",14.26M,4.18%
2022年2月8日,"1,623.31","1,651.87","1,662.77","1,623.31",17.66M,-1.92%
2022年2月7日,"1,655.09","1,640.75","1,657.39","1,622.32",11.25M,1.39%
2022年2月4日,"1,632.37","1,700.82","1,707.57","1,632.37",13.43M,-3.29%
2022年2月3日,"1,687.89","1,734.92","1,734.92","1,684.25",16.25M,-2.79%
2022年2月2日,"1,736.41","1,722.77","1,740.90","1,713.38",13.89M,2.81%
2022年2月1日,"1,689.01","1,688.49","1,704.46","1,677.59",12.58M,0.78%
2022年1月31日,"1,675.91","1,654.75","1,682.22","1,653.73",13.16M,2.63%
2022年1月28日,"1,632.96","1,642.32","1,649.91","1,623.66",13.00M,-1.40%
2022年1月27日,"1,656.14","1,601.96","1,656.89","1,596.71",13.60M,1.76%
2022年1月26日,"1,627.50","1,626.09","1,645.40","1,612.51",16.12M,1.19%
2022年1月25日,"1,608.40","1,621.00","1,632.06","1,601.52",16.44M,0.36%
2022年1月24日,"1,602.56","1,644.41","1,655.31","1,585.84",16.84M,-3.45%
2022年1月21日,"1,659.83","1,668.65","1,673.02","1,651.25",20.23M,-2.23%
2022年1月20日,"1,697.71","1,683.43","1,697.71","1,659.90",12.18M,0.66%
2022年1月19日,"1,686.56","1,654.84","1,697.24","1,647.27",13.15M,0.94%
2022年1月18日,"1,670.82","1,688.61","1,689.25","1,649.91",12.56M,-1.19%
2022年1月17日,"1,690.90","1,683.51","1,694.72","1,672.75",8.24M,0.80%
2022年1月14日,"1,677.40","1,718.10","1,719.03","1,677.14",12.48M,-2.80%
2022年1月13日,"1,725.80","1,732.24","1,742.67","1,723.94",14.15M,-0.55%
2022年1月12日,"1,735.39","1,731.20","1,737.91","1,724.84",13.05M,0.92%
2022年1月11日,"1,719.49","1,728.35","1,753.56","1,719.49",11.47M,0.62%
2022年1月10日,"1,708.83","1,764.20","1,764.78","1,708.80",12.51M,-2.02%
2022年1月7日,"1,744.09","1,759.89","1,764.02","1,739.52",12.30M,-0.87%
2022年1月6日,"1,759.41","1,777.26","1,785.90","1,744.77",13.04M,-3.02%
2022年1月5日,"1,814.11","1,826.99","1,832.52","1,810.92",11.83M,-0.44%
2022年1月4日,"1,822.04","1,860.89","1,860.93","1,814.59",14.78M,-1.52%
2022年1月3日,"1,850.21","1,871.41","1,876.95","1,844.30",-,-0.74%
2021年12月30日,"1,863.99","1,851.35","1,871.77","1,851.35",6.65M,0.71%
2021年12月29日,"1,850.94","1,857.12","1,862.85","1,843.35",6.03M,-0.19%
2021年12月28日,"1,854.54","1,857.17","1,869.12","1,848.71",5.51M,0.25%
2021年12月27日,"1,849.92","1,825.63","1,854.45","1,825.31",4.96M,1.36%
2021年12月23日,"1,825.05","1,831.25","1,835.64","1,815.26",7.00M,-0.03%
2021年12月22日,"1,825.68","1,797.70","1,825.68","1,791.13",8.79M,2.29%
2021年12月21日,"1,784.76","1,774.59","1,792.78","1,759.32",11.18M,1.82%
2021年12月20日,"1,752.91","1,830.40","1,830.40","1,689.37",17.13M,-4.97%
2021年12月17日,"1,844.49","1,855.79","1,858.41","1,832.17",20.06M,-0.93%
2021年12月16日,"1,861.89","1,860.21","1,869.45","1,842.78",13.11M,1.55%
2021年12月15日,"1,833.39","1,810.95","1,836.11","1,810.74",12.56M,1.51%
2021年12月14日,"1,806.19","1,847.24","1,852.17","1,804.61",13.23M,-2.36%
2021年12月13日,"1,849.91","1,842.43","1,860.71","1,836.30",9.96M,0.58%
2021年12月10日,"1,839.19","1,838.11","1,845.51","1,825.44",9.00M,-0.72%
2021年12月9日,"1,852.62","1,849.22","1,857.87","1,839.41",10.35M,1.07%
2021年12月8日,"1,833.04","1,824.20","1,856.09","1,824.15",14.54M,0.78%
2021年12月7日,"1,818.83","1,774.85","1,820.81","1,773.89",14.11M,3.21%
