日期,收盘,开盘,高,低,交易量,涨跌幅
2022年6月1日,"2,041.26","2,057.53","2,062.95","2,038.41",85.93M,-0.07%
2022年5月31日,"2,042.64","2,072.81","2,074.31","2,042.64",242.97M,-1.57%
2022年5月30日,"2,075.28","2,070.95","2,086.10","2,069.61",70.58M,0.83%
2022年5月27日,"2,058.10","2,021.19","2,058.10","2,016.10",120.15M,3.85%
2022年5月25日,"1,981.82","2,014.55","2,019.78","1,981.82",49.09M,-0.96%
2022年5月24日,"2,001.10","2,004.10","2,017.99","1,995.18",88.74M,-0.88%
2022年5月23日,"2,018.87","2,019.21","2,025.14","1,998.84",79.53M,1.24%
2022年5月20日,"1,994.09","2,007.23","2,020.09","1,987.78",94.94M,0.08%
2022年5月19日,"1,992.40","1,976.01","1,997.35","1,967.43",92.89M,-0.51%
2022年5月18日,"2,002.54","2,033.61","2,038.75","2,001.24",91.33M,-1.22%
2022年5月17日,"2,027.34","2,020.02","2,039.86","2,013.88",84.73M,1.14%
2022年5月16日,"2,004.49","2,005.77","2,021.33","1,996.25",87.93M,-0.34%
2022年5月13日,"2,011.33","1,995.01","2,015.90","1,979.55",87.07M,1.92%
2022年5月12日,"1,973.48","1,940.65","1,976.82","1,936.37",126.87M,-0.20%
2022年5月11日,"1,977.47","1,958.35","1,977.66","1,943.05",158.69M,1.77%
2022年5月10日,"1,943.11","1,932.40","1,973.59","1,924.85",125.50M,1.48%
2022年5月9日,"1,914.82","1,946.89","1,958.85","1,908.97",90.52M,-2.40%
2022年5月6日,"1,962.00","1,972.95","1,980.66","1,939.25",99.11M,-1.17%
2022年5月5日,"1,985.13","2,040.17","2,045.18","1,981.77",86.66M,-1.29%
2022年5月4日,"2,011.12","2,030.79","2,033.47","2,008.97",81.48M,-1.15%
2022年5月3日,"2,034.46","2,037.25","2,041.00","2,024.18",79.03M,0.70%
2022年5月2日,"2,020.41","2,038.47","2,041.74","1,895.41",97.36M,-1.87%
2022年4月29日,"2,058.90","2,054.66","2,075.31","2,042.98",131.67M,1.00%
2022年4月28日,"2,038.56","2,062.04","2,066.40","2,024.14",150.13M,-0.49%
2022年4月27日,"2,048.69","2,013.78","2,059.76","2,011.88",122.04M,1.50%
2022年4月26日,"2,018.33","2,064.29","2,079.75","2,018.33",108.13M,-1.58%
2022年4月25日,"2,050.64","2,051.16","2,071.75","2,041.65",96.63M,-2.11%
2022年4月22日,"2,094.94","2,100.74","2,118.33","2,088.10",93.36M,-1.48%
2022年4月21日,"2,126.44","2,111.87","2,143.36","2,104.42",90.91M,0.82%
2022年4月20日,"2,109.10","2,100.70","2,128.83","2,095.96",86.25M,0.53%
2022年4月19日,"2,097.89","2,085.19","2,102.92","2,066.70",91.15M,0.24%
2022年4月14日,"2,092.86","2,099.09","2,099.09","2,078.63",50.27M,-0.27%
2022年4月13日,"2,098.58","2,094.08","2,107.13","2,080.21",73.27M,-0.17%
2022年4月12日,"2,102.20","2,077.29","2,113.96","2,063.92",87.18M,0.21%
2022年4月11日,"2,097.71","2,121.10","2,127.66","2,091.16",83.06M,-1.60%
2022年4月8日,"2,131.86","2,123.80","2,133.79","2,117.08",90.17M,1.13%
2022年4月7日,"2,108.03","2,103.15","2,123.88","2,095.04",92.72M,0.32%
2022年4月6日,"2,101.21","2,135.02","2,136.14","2,080.34",110.43M,-1.47%
2022年4月5日,"2,132.52","2,136.52","2,149.03","2,123.91",92.37M,-0.18%
2022年4月4日,"2,136.44","2,125.48","2,142.33","2,101.18",75.03M,0.79%
2022年4月1日,"2,119.61","2,096.49","2,122.13","2,086.17",87.87M,1.17%
2022年3月31日,"2,095.17","2,139.59","2,140.75","2,092.78",135.72M,-1.65%
2022年3月30日,"2,130.30","2,147.38","2,148.38","2,107.68",93.70M,-1.12%
2022年3月29日,"2,154.38","2,144.68","2,175.17","2,134.84",104.80M,1.39%
2022年3月28日,"2,124.93","2,115.08","2,139.01","2,113.83",79.03M,0.87%
2022年3月25日,"2,106.52","2,125.62","2,135.18","2,100.20",75.90M,-1.30%
2022年3月24日,"2,134.17","2,158.08","2,158.66","2,127.53",77.85M,-1.00%
2022年3月23日,"2,155.64","2,189.82","2,190.66","2,140.73",78.66M,-1.24%
2022年3月22日,"2,182.78","2,182.78","2,193.88","2,169.22",75.22M,0.08%
2022年3月21日,"2,181.05","2,177.64","2,188.22","2,166.49",71.12M,0.10%
2022年3月18日,"2,178.82","2,167.51","2,178.82","2,148.61",127.22M,0.92%
2022年3月17日,"2,159.00","2,177.82","2,186.82","2,144.69",100.93M,-0.38%
2022年3月16日,"2,167.15","2,128.30","2,172.45","2,121.45",131.07M,3.94%
2022年3月15日,"2,085.08","2,076.27","2,094.67","2,044.99",103.67M,-0.54%
2022年3月14日,"2,096.44","2,084.38","2,115.07","2,077.14",99.04M,1.24%
2022年3月11日,"2,070.80","2,047.62","2,098.21","2,043.76",118.42M,1.56%
2022年3月10日,"2,038.92","2,056.86","2,059.90","2,018.19",116.47M,-0.13%
2022年3月9日,"2,041.61","2,023.64","2,041.93","2,000.43",131.97M,3.53%
2022年3月8日,"1,972.04","1,945.51","2,019.91","1,945.51",121.17M,-0.42%
2022年3月7日,"1,980.35","1,924.06","2,014.26","1,902.22",169.90M,-0.26%
2022年3月4日,"1,985.54","2,023.11","2,039.32","1,982.43",124.72M,-3.07%
2022年3月3日,"2,048.51","2,084.98","2,100.21","2,044.22",96.59M,-2.29%
2022年3月2日,"2,096.53","2,066.27","2,107.06","2,041.24",155.77M,0.56%
2022年3月1日,"2,084.93","2,122.38","2,135.07","2,084.93",115.25M,-2.30%
2022年2月28日,"2,134.07","2,094.40","2,135.22","2,083.61",160.62M,-0.35%
2022年2月25日,"2,141.52","2,100.79","2,143.92","2,074.74",117.99M,3.05%
2022年2月24日,"2,078.06","2,057.11","2,094.76","2,038.30",158.59M,-2.99%
2022年2月23日,"2,142.03","2,163.03","2,181.54","2,139.68",72.65M,-0.74%
