日期,收盘,开盘,高,低,交易量,涨跌幅
2022年6月1日,"6,231.15","6,277.01","6,299.19","6,227.22",147.78M,-0.42%
2022年5月31日,"6,257.50","6,309.13","6,344.23","6,257.50",171.58M,-0.60%
2022年5月30日,"6,294.98","6,269.48","6,299.72","6,234.83",113.32M,0.87%
2022年5月27日,"6,240.72","6,307.12","6,328.21","6,224.91",155.12M,-1.02%
2022年5月26日,"6,305.14","6,216.73","6,323.85","6,216.73",174.25M,1.95%
2022年5月25日,"6,184.84","6,178.37","6,192.95","6,122.45",156.72M,0.88%
2022年5月24日,"6,130.90","6,066.35","6,146.20","6,018.96",144.94M,0.85%
2022年5月23日,"6,079.51","5,991.61","6,079.51","5,986.60",163.78M,2.67%
2022年5月20日,"5,921.16","5,949.95","6,001.67","5,907.42",212.38M,0.28%
2022年5月19日,"5,904.72","5,790.11","5,928.81","5,790.11",213.66M,1.31%
2022年5月18日,"5,828.56","5,857.74","5,902.98","5,823.71",192.25M,-0.09%
2022年5月17日,"5,834.03","5,789.11","5,836.39","5,789.11",257.92M,1.61%
2022年5月16日,"5,741.48","5,666.92","5,748.80","5,665.10",84.02M,0.64%
2022年5月13日,"5,705.12","5,682.85","5,721.08","5,682.77",89.08M,0.88%
2022年5月12日,"5,655.29","5,716.08","5,728.32","5,632.83",99.22M,-2.33%
2022年5月11日,"5,789.96","5,748.54","5,789.96","5,690.64",122.71M,1.21%
2022年5月10日,"5,721.02","5,678.19","5,760.48","5,668.58",104.98M,1.12%
2022年5月9日,"5,657.92","5,801.03","5,822.24","5,657.92",78.61M,-2.72%
2022年5月6日,"5,816.29","5,736.86","5,852.44","5,700.43",105.64M,0.46%
2022年5月5日,"5,789.51","5,855.13","5,893.96","5,783.08",109.45M,-0.72%
2022年5月4日,"5,831.68","5,904.26","5,919.75","5,829.30",67.80M,-0.88%
2022年5月3日,"5,883.42","5,848.69","5,883.42","5,810.91",81.82M,0.33%
2022年5月2日,"5,864.36","5,898.90","5,920.00","5,693.31",74.71M,-1.11%
2022年4月29日,"5,930.01","5,974.47","5,981.00","5,912.51",80.57M,-0.04%
2022年4月28日,"5,932.30","5,899.81","5,946.38","5,898.74",121.24M,0.78%
2022年4月27日,"5,886.34","5,866.53","5,888.18","5,799.13",132.06M,0.42%
2022年4月26日,"5,861.72","5,938.98","5,946.64","5,860.28",162.30M,-1.32%
2022年4月25日,"5,940.19","5,944.22","6,004.29","5,905.40",116.80M,-1.04%
2022年4月22日,"6,002.91","5,992.81","6,053.20","5,992.81",129.84M,-0.87%
2022年4月21日,"6,055.83","6,131.69","6,143.96","6,055.83",106.41M,-1.11%
2022年4月20日,"6,123.51","6,084.54","6,146.93","6,069.72",183.58M,0.28%
