日期,收盘,开盘,高,低,交易量,涨跌幅
2022年6月1日,"7,234.00","7,211.20","7,238.20","7,204.40",883.34M,0.32%
2022年5月31日,"7,211.20","7,286.60","7,288.40","7,211.20",1.21B,-1.03%
2022年5月30日,"7,286.60","7,182.70","7,286.60","7,182.70",632.33M,1.45%
2022年5月27日,"7,182.70","7,105.90","7,196.70","7,105.90",562.13M,1.08%
2022年5月26日,"7,105.90","7,155.20","7,181.40","7,105.90",592.53M,-0.69%
2022年5月25日,"7,155.20","7,218.60","7,218.60","7,134.60",647.28M,0.37%
2022年5月24日,"7,128.80","7,148.90","7,165.80","7,114.00",925.17M,-0.28%
2022年5月23日,"7,148.90","7,145.60","7,196.00","7,135.80",552.38M,0.05%
2022年5月20日,"7,145.60","7,064.50","7,154.60","7,064.50",698.13M,1.15%
2022年5月19日,"7,064.50","7,182.70","7,182.70","7,037.60",749.87M,-1.65%
2022年5月18日,"7,182.70","7,112.50","7,199.00","7,112.50",656.92M,0.99%
2022年5月17日,"7,112.50","7,093.00","7,129.50","7,093.00",626.23M,0.27%
2022年5月16日,"7,093.00","7,075.10","7,149.50","7,075.10",572.40M,0.25%
2022年5月13日,"7,075.10","6,941.00","7,075.10","6,941.00",725.15M,1.93%
2022年5月12日,"6,941.00","7,064.70","7,064.70","6,930.20",796.55M,-1.75%
2022年5月11日,"7,064.70","7,051.20","7,064.70","6,991.80",694.94M,0.19%
2022年5月10日,"7,051.20","7,120.70","7,120.70","6,939.50",939.44M,-0.98%
2022年5月9日,"7,120.70","7,205.60","7,205.60","7,092.30",692.26M,-1.18%
2022年5月6日,"7,205.60","7,364.70","7,364.70","7,161.40",861.01M,-2.16%
2022年5月5日,"7,364.70","7,304.70","7,369.10","7,304.70",808.19M,0.82%
2022年5月4日,"7,304.70","7,316.20","7,366.80","7,299.90",718.76M,-0.16%
2022年5月3日,"7,316.20","7,347.00","7,355.20","7,299.30",580.02M,-0.42%
2022年5月2日,"7,347.00","7,435.00","7,435.00","7,301.60",565.05M,-1.18%
2022年4月29日,"7,435.00","7,356.90","7,435.00","7,356.90",748.50M,1.06%
2022年4月28日,"7,356.90","7,261.20","7,356.90","7,261.20",726.95M,1.43%
2022年4月27日,"7,253.50","7,318.00","7,318.00","7,233.30",663.52M,-0.88%
2022年4月26日,"7,318.00","7,473.30","7,473.30","7,290.80",832.28M,-2.08%
2022年4月22日,"7,473.30","7,592.80","7,592.80","7,455.00",749.71M,-1.57%
2022年4月21日,"7,592.80","7,569.20","7,604.70","7,560.60",600.71M,0.31%
2022年4月20日,"7,569.20","7,565.20","7,624.80","7,564.10",630.67M,0.05%
2022年4月19日,"7,565.20","7,523.50","7,584.90","7,523.50",584.18M,0.56%
2022年4月14日,"7,523.40","7,479.00","7,529.20","7,479.00",683.77M,0.59%
2022年4月13日,"7,479.00","7,454.00","7,489.00","7,454.00",636.98M,0.34%
2022年4月12日,"7,454.00","7,485.20","7,485.20","7,430.80",578.44M,-0.42%
2022年4月11日,"7,485.20","7,478.00","7,524.90","7,471.30",550.35M,0.10%
2022年4月8日,"7,478.00","7,442.80","7,492.30","7,442.80",610.11M,0.47%
2022年4月7日,"7,442.80","7,490.10","7,490.10","7,437.60",628.59M,-0.63%
2022年4月6日,"7,490.10","7,527.90","7,527.90","7,437.50",703.88M,-0.50%
2022年4月5日,"7,527.90","7,513.70","7,573.40","7,509.30",593.37M,0.19%
2022年4月4日,"7,513.70","7,493.80","7,536.80","7,493.80",553.40M,0.27%
2022年4月1日,"7,493.80","7,499.60","7,514.00","7,476.70",653.75M,-0.08%
2022年3月31日,"7,499.60","7,514.50","7,556.60","7,499.60",822.18M,-0.20%
2022年3月30日,"7,514.50","7,464.30","7,533.10","7,464.30",713.12M,0.67%
2022年3月29日,"7,464.30","7,412.40","7,480.90","7,409.90",648.12M,0.70%
2022年3月28日,"7,412.40","7,406.20","7,446.70","7,406.20",545.17M,0.08%
2022年3月25日,"7,406.20","7,387.10","7,431.30","7,387.10",679.65M,0.26%
2022年3月24日,"7,387.10","7,377.90","7,399.40","7,356.20",633.60M,0.12%
2022年3月23日,"7,377.90","7,341.10","7,386.90","7,329.80",575.42M,0.50%
2022年3月22日,"7,341.10","7,278.50","7,377.30","7,278.50",634.67M,0.86%
2022年3月21日,"7,278.50","7,294.40","7,350.40","7,278.50",561.98M,-0.22%
2022年3月18日,"7,294.40","7,250.80","7,294.40","7,245.90",1.54B,0.60%
2022年3月17日,"7,250.80","7,175.20","7,296.80","7,175.20",831.38M,1.05%
2022年3月16日,"7,175.20","7,097.40","7,180.20","7,097.40",701.73M,1.10%
2022年3月15日,"7,097.40","7,149.40","7,149.40","7,080.70",788.37M,-0.73%
2022年3月14日,"7,149.40","7,063.60","7,149.40","7,063.60",599.30M,1.21%
2022年3月11日,"7,063.60","7,130.80","7,151.40","7,051.20",816.85M,-0.94%
2022年3月10日,"7,130.80","7,053.00","7,161.00","7,039.70",976.57M,1.10%
2022年3月9日,"7,053.00","6,980.30","7,072.00","6,968.90",1.04B,1.04%
2022年3月8日,"6,980.30","7,038.60","7,053.50","6,980.30",973.85M,-0.83%
2022年3月7日,"7,038.60","7,110.80","7,133.70","7,010.50",1.02B,-1.02%
2022年3月4日,"7,110.80","7,151.40","7,151.40","7,025.20",972.29M,-0.57%
2022年3月3日,"7,151.40","7,116.70","7,198.10","7,116.70",856.24M,0.49%
2022年3月2日,"7,116.70","7,096.50","7,121.50","7,041.90",941.03M,0.28%
2022年3月1日,"7,096.50","7,049.10","7,159.90","7,049.10",812.87M,0.67%
2022年2月28日,"7,049.10","6,997.80","7,049.60","6,979.40",1.01B,0.73%
2022年2月25日,"6,997.80","6,990.60","7,045.60","6,974.90",888.81M,0.10%
2022年2月24日,"6,990.60","7,205.70","7,205.70","6,959.30",1.11B,-2.99%
2022年2月23日,"7,205.70","7,161.30","7,205.70","7,145.40",788.38M,0.62%
2022年2月22日,"7,161.30","7,233.60","7,233.60","7,108.80",863.79M,-1.00%
2022年2月21日,"7,233.60","7,220.40","7,248.80","7,156.30",712.02M,0.16%
2022年2月18日,"7,221.70","7,296.20","7,296.20","7,201.90",764.00M,-1.02%
2022年2月17日,"7,296.20","7,284.90","7,356.80","7,282.30",846.62M,0.16%
2022年2月16日,"7,284.90","7,206.90","7,284.90","7,201.00",796.13M,1.08%
2022年2月15日,"7,206.90","7,243.90","7,251.40","7,198.00",730.13M,-0.51%
2022年2月14日,"7,243.90","7,217.30","7,263.60","7,181.70",749.35M,0.37%
2022年2月11日,"7,217.30","7,288.50","7,294.40","7,191.80",629.39M,-0.98%
2022年2月10日,"7,288.50","7,268.30","7,336.60","7,260.80",886.64M,0.28%
2022年2月9日,"7,268.30","7,186.70","7,268.30","7,183.00",978.75M,1.14%
2022年2月8日,"7,186.70","7,110.80","7,203.00","7,110.80",771.03M,1.07%
2022年2月7日,"7,110.80","7,120.20","7,128.30","7,046.50",617.94M,-0.13%
2022年2月4日,"7,120.20","7,078.00","7,120.20","7,045.90",833.72M,0.60%
2022年2月3日,"7,078.00","7,087.70","7,095.10","7,045.80",628.83M,-0.14%
2022年2月2日,"7,087.70","7,006.00","7,107.20","7,006.00",643.55M,1.17%
2022年2月1日,"7,006.00","6,971.60","7,043.60","6,945.70",685.79M,0.49%
2022年1月31日,"6,971.60","6,988.10","7,004.40","6,932.70",759.09M,-0.24%
2022年1月28日,"6,988.10","6,838.30","7,000.00","6,837.90",2.09B,2.19%
2022年1月27日,"6,838.30","6,961.60","7,042.80","6,758.20",1.18B,-1.77%
2022年1月25日,"6,961.60","7,139.50","7,139.50","6,920.70",1.10B,-2.49%
2022年1月24日,"7,139.50","7,173.70","7,173.70","7,086.80",760.46M,-0.51%
2022年1月21日,"7,175.80","7,342.40","7,342.40","7,153.30",910.99M,-2.27%
2022年1月20日,"7,342.40","7,332.50","7,354.60","7,298.50",684.95M,0.14%
2022年1月19日,"7,332.50","7,408.80","7,408.80","7,325.70",697.49M,-1.03%
2022年1月18日,"7,408.80","7,417.30","7,445.10","7,398.20",549.27M,-0.11%
2022年1月17日,"7,417.30","7,393.90","7,429.30","7,385.80",472.82M,0.32%
2022年1月14日,"7,393.90","7,474.40","7,474.40","7,386.80",619.98M,-1.08%
2022年1月13日,"7,474.40","7,438.90","7,487.30","7,438.90",605.24M,0.48%
2022年1月12日,"7,438.90","7,390.10","7,467.50","7,390.10",569.40M,0.66%
