日期,收盘,开盘,高,低,交易量,涨跌幅
2022年6月1日,"51,506.15","51,739.87","51,820.68","51,309.59",173.88M,-0.48%
2022年5月31日,"51,752.53","52,116.37","52,290.18","51,269.52",1.35B,-0.79%
2022年5月30日,"52,162.08","52,438.79","52,745.98","51,922.47",83.11M,-0.57%
2022年5月27日,"52,463.55","52,154.25","52,617.31","51,871.92",172.81M,0.61%
2022年5月26日,"52,143.00","51,657.43","52,294.77","51,656.87",183.85M,0.82%
2022年5月25日,"51,717.07","51,243.95","52,082.47","51,216.99",281.23M,0.81%
2022年5月24日,"51,304.04","51,149.47","51,374.40","50,866.15",241.74M,-0.14%
2022年5月23日,"51,376.89","51,621.72","51,989.02","51,341.19",139.72M,-0.27%
2022年5月20日,"51,518.30","51,512.45","51,868.44","51,326.93",202.80M,0.45%
2022年5月19日,"51,289.91","50,212.98","51,590.33","50,050.46",238.82M,1.78%
2022年5月18日,"50,394.03","51,390.52","51,390.52","49,990.49",304.80M,-2.08%
2022年5月17日,"51,464.03","50,781.79","51,634.19","50,739.66",204.56M,1.78%
2022年5月16日,"50,563.98","49,604.95","50,823.04","49,472.51",177.68M,1.98%
2022年5月13日,"49,579.90","49,486.11","49,726.52","49,127.29",212.87M,0.55%
2022年5月12日,"49,309.32","49,061.12","49,732.05","48,701.25",249.59M,0.07%
2022年5月11日,"49,276.23","49,087.26","49,618.35","49,005.89",234.79M,0.33%
2022年5月10日,"49,115.86","49,149.19","49,435.54","49,005.01",257.01M,0.12%
2022年5月9日,"49,057.46","49,419.02","49,419.02","48,669.21",161.52M,-0.98%
2022年5月6日,"49,541.81","50,435.61","50,435.61","49,451.28",163.38M,-1.96%
2022年5月5日,"50,529.95","51,264.61","51,264.61","50,357.55",202.48M,-1.76%
2022年5月4日,"51,432.63","51,032.24","51,565.60","50,588.92",149.76M,0.72%
2022年5月3日,"51,066.56","51,896.17","51,896.85","50,954.99",161.14M,-1.58%
2022年5月2日,"51,887.47","51,426.27","51,922.71","51,125.72",128.41M,0.91%
2022年4月29日,"51,417.97","52,502.50","52,809.38","51,315.04",214.87M,-2.27%
2022年4月28日,"52,614.17","52,792.52","52,793.87","51,658.11",231.71M,0.50%
2022年4月27日,"52,351.21","52,627.18","52,807.09","52,212.64",160.23M,-0.31%
2022年4月26日,"52,512.71","52,699.18","52,894.05","52,324.66",185.41M,-0.24%
2022年4月25日,"52,640.83","53,183.12","53,183.12","52,509.45",183.38M,-1.04%
2022年4月22日,"53,191.78","53,258.32","53,641.01","53,027.20",143.32M,-0.14%
2022年4月21日,"53,267.31","53,997.67","54,329.32","53,077.99",154.71M,-1.05%
2022年4月20日,"53,831.04","54,676.06","54,695.19","53,772.88",185.72M,-1.47%
2022年4月19日,"54,633.76","54,219.61","54,718.34","54,175.48",154.40M,0.91%
2022年4月18日,"54,139.69","54,172.62","54,582.79","54,063.78",101.33M,-0.06%
2022年4月13日,"54,172.62","53,976.82","54,414.12","53,697.42",102.40M,0.49%
2022年4月12日,"53,907.25","54,624.30","54,809.11","53,750.83",186.08M,-1.02%
2022年4月11日,"54,463.83","54,678.05","54,678.05","54,279.65",115.52M,-0.41%
2022年4月8日,"54,687.25","55,338.64","55,350.06","54,591.73",117.21M,-1.07%
2022年4月7日,"55,280.59","55,494.70","55,646.29","55,195.51",241.70M,-0.29%
2022年4月6日,"55,438.73","55,562.97","55,851.26","55,323.00",188.73M,-0.20%
2022年4月5日,"55,547.29","56,218.23","56,296.12","55,395.01",179.42M,-1.36%
2022年4月4日,"56,313.21","56,610.03","56,783.68","56,181.34",102.84M,-0.52%
2022年4月1日,"56,609.54","56,530.56","57,064.16","56,274.78",184.37M,0.13%
2022年3月31日,"56,536.68","55,811.40","56,730.53","55,811.40",226.31M,1.29%
2022年3月30日,"55,814.99","56,129.47","56,174.56","55,526.97",214.85M,-0.53%
2022年3月29日,"56,111.21","55,590.47","56,276.39","55,517.32",244.30M,0.77%
2022年3月28日,"55,685.14","55,436.45","55,779.73","55,335.86",122.11M,0.45%
2022年3月25日,"55,436.05","55,833.15","55,850.83","55,004.38",145.21M,-0.71%
2022年3月24日,"55,829.86","55,198.54","55,902.68","54,990.07",163.27M,1.22%
2022年3月23日,"55,154.68","55,634.96","55,712.82","55,026.42",155.68M,-1.02%
2022年3月22日,"55,722.48","55,468.11","55,902.28","55,205.64",244.99M,0.46%
2022年3月18日,"55,467.06","54,413.91","55,788.87","53,815.43",770.89M,2.03%
2022年3月17日,"54,364.51","53,456.48","54,447.04","53,277.42",186.80M,1.78%
2022年3月16日,"53,411.88","52,997.11","53,939.88","52,997.11",239.44M,0.76%
2022年3月15日,"53,010.01","52,735.69","53,121.39","52,437.05",324.40M,0.38%
2022年3月14日,"52,807.62","53,300.70","53,300.70","52,427.58",242.37M,-0.93%
2022年3月11日,"53,300.70","53,514.82","53,806.21","53,181.68",152.58M,-0.16%
2022年3月10日,"53,387.62","53,802.95","54,019.43","53,316.02",189.25M,-0.97%
2022年3月9日,"53,911.76","53,202.30","54,000.03","53,202.30",221.90M,1.17%
2022年3月8日,"53,288.23","52,393.46","53,555.91","52,096.01",266.75M,1.86%
2022年3月7日,"52,312.61","53,354.94","53,354.94","51,884.08",239.26M,-1.89%
2022年3月4日,"53,322.05","53,450.50","53,450.50","52,691.76",226.44M,-0.38%
2022年3月3日,"53,528.01","53,297.79","54,095.65","53,235.57",216.85M,0.43%
2022年3月2日,"53,300.66","53,292.95","53,610.07","53,059.01",198.23M,0.25%
2022年3月1日,"53,168.82","53,403.89","53,855.46","52,880.98",182.51M,-0.43%
2022年2月28日,"53,400.61","52,528.71","53,600.12","51,990.91",951.23M,1.61%
2022年2月25日,"52,555.60","51,488.58","52,600.05","51,439.65",201.52M,2.14%
2022年2月24日,"51,454.05","50,727.93","51,589.97","50,003.09",240.72M,0.18%
2022年2月23日,"51,362.95","52,610.63","52,610.63","51,252.65",259.41M,-2.35%
2022年2月22日,"52,600.45","52,075.83","52,664.38","51,928.28",186.72M,1.11%
2022年2月21日,"52,025.18","52,281.53","52,302.42","51,762.05",39.45M,-0.49%
2022年2月18日,"52,281.53","52,723.49","52,828.52","52,218.31",126.99M,-0.82%
2022年2月17日,"52,712.06","53,613.54","53,680.29","52,606.96",147.05M,-1.80%
2022年2月16日,"53,680.86","53,188.90","53,901.91","53,051.61",171.99M,0.88%
2022年2月15日,"53,210.94","52,430.35","53,520.23","52,410.29",189.08M,1.67%
2022年2月14日,"52,334.73","53,232.26","53,232.26","52,161.67",218.80M,-1.68%
2022年2月11日,"53,229.26","52,512.06","53,629.53","52,468.03",188.38M,1.20%
2022年2月10日,"52,599.58","52,679.94","52,903.15","52,371.93",256.32M,-0.31%
2022年2月9日,"52,761.91","52,470.74","52,816.79","52,314.05",178.16M,0.89%
