日期,收盘,开盘,高,低,交易量,涨跌幅
2022年6月1日,"20,713.72","20,816.71","20,866.36","20,610.19",267.83M,-0.08%
2022年5月31日,"20,729.34","20,830.49","20,875.91","20,697.64",582.08M,-0.91%
2022年5月30日,"20,919.40","20,835.61","20,940.13","20,817.52",122.60M,0.82%
2022年5月27日,"20,748.58","20,587.10","20,777.55","20,581.72",267.38M,1.05%
2022年5月26日,"20,532.18","20,454.11","20,624.73","20,448.69",266.63M,0.73%
2022年5月25日,"20,383.75","20,295.19","20,452.54","20,290.69",221.43M,0.48%
2022年5月24日,"20,286.20","20,333.39","20,337.34","20,146.91",303.46M,0.44%
2022年5月20日,"20,197.61","20,335.70","20,359.79","19,937.30",221.44M,0.08%
2022年5月19日,"20,181.92","19,927.12","20,336.12","19,907.27",257.19M,0.40%
2022年5月18日,"20,101.38","20,424.03","20,424.03","20,040.48",253.03M,-1.90%
2022年5月17日,"20,491.01","20,440.84","20,514.61","20,330.54",274.90M,1.41%
2022年5月16日,"20,206.41","20,116.04","20,309.19","20,064.76",310.44M,0.53%
2022年5月13日,"20,099.81","19,871.87","20,196.60","19,871.87",294.40M,2.03%
2022年5月12日,"19,699.05","19,681.25","19,809.00","19,480.00",319.75M,-0.70%
2022年5月11日,"19,837.25","19,922.75","20,189.43","19,792.79",318.05M,-0.27%
2022年5月10日,"19,890.06","20,166.21","20,253.33","19,736.68",349.94M,-0.55%
2022年5月9日,"19,999.69","20,392.40","20,392.40","19,955.79",339.46M,-3.07%
2022年5月6日,"20,633.28","20,664.47","20,729.34","20,416.38",272.17M,-0.30%
2022年5月5日,"20,696.17","21,120.71","21,120.71","20,550.61",283.07M,-2.31%
2022年5月4日,"21,184.95","20,972.96","21,210.71","20,798.78",300.17M,1.34%
2022年5月3日,"20,905.28","20,759.90","21,030.74","20,738.18",249.32M,1.03%
2022年5月2日,"20,692.22","20,707.70","20,758.11","20,456.80",252.84M,-0.34%
2022年4月29日,"20,762.00","21,036.16","21,168.82","20,753.85",287.10M,-1.70%
2022年4月28日,"21,121.06","20,899.87","21,206.46","20,817.86",280.02M,1.82%
2022年4月27日,"20,744.23","20,747.20","20,855.48","20,619.32",233.53M,0.26%
2022年4月26日,"20,690.81","21,021.18","21,021.18","20,690.81",254.39M,-1.53%
2022年4月25日,"21,011.89","20,985.49","21,074.67","20,672.64",317.58M,-0.82%
2022年4月22日,"21,186.38","21,593.86","21,593.86","21,169.27",287.62M,-2.14%
2022年4月21日,"21,650.41","22,088.13","22,088.13","21,613.16",258.47M,-1.58%
2022年4月20日,"21,998.38","22,012.53","22,062.60","21,933.99",217.39M,-0.09%
2022年4月19日,"22,018.82","21,853.02","22,035.68","21,820.81",204.02M,0.64%
2022年4月18日,"21,878.41","21,866.87","21,972.10","21,847.62",228.31M,0.10%
2022年4月14日,"21,855.70","21,862.21","21,935.53","21,843.04",231.49M,0.08%
2022年4月13日,"21,838.02","21,780.10","21,888.76","21,739.47",211.11M,0.56%
2022年4月12日,"21,715.41","21,897.86","21,948.60","21,701.03",251.81M,-0.34%
2022年4月11日,"21,790.49","21,873.77","21,889.72","21,737.52",275.75M,-0.38%
2022年4月8日,"21,874.35","21,876.84","21,953.04","21,824.32",202.11M,0.18%
2022年4月7日,"21,834.89","21,792.30","21,851.64","21,635.34",231.57M,0.21%
