日期,收盘,开盘,高,低,交易量,涨跌幅
2022年6月1日,"64,237.10","65,431.16","65,509.24","63,923.85",110.81M,-1.82%
2022年5月31日,"65,431.16","65,335.09","65,639.78","64,953.02",282.09M,0.15%
2022年5月30日,"65,335.09","63,882.81","65,460.19","63,882.81",114.20M,2.27%
2022年5月27日,"63,882.81","63,019.00","63,994.08","62,745.13",123.99M,1.37%
2022年5月26日,"63,019.00","61,176.02","63,121.42","61,156.80",124.43M,3.01%
2022年5月25日,"61,176.02","61,176.93","61,682.23","60,345.32",146.90M,0.00%
2022年5月24日,"61,176.93","61,787.53","61,787.53","60,978.03",95.66M,-0.99%
2022年5月23日,"61,787.53","60,999.46","62,215.00","60,999.46",104.11M,1.29%
2022年5月20日,"60,999.46","61,725.52","62,718.07","60,999.46",160.27M,-1.18%
2022年5月19日,"61,725.52","62,494.43","62,502.30","61,028.81",110.95M,-1.23%
2022年5月18日,"62,494.43","63,026.74","63,337.88","62,358.01",104.64M,-0.84%
2022年5月17日,"63,026.74","62,495.81","63,679.87","62,495.81",115.46M,0.85%
2022年5月16日,"62,495.81","61,991.97","62,582.73","61,722.43",88.91M,0.81%
2022年5月13日,"61,991.97","60,641.20","62,007.17","60,587.94",-,2.23%
2022年5月12日,"60,641.20","61,786.27","61,786.27","59,396.94",164.91M,-1.85%
2022年5月11日,"61,786.27","60,359.40","61,876.75","60,230.61",130.02M,2.36%
2022年5月10日,"60,359.40","60,161.02","61,103.01","60,154.30",173.37M,0.33%
2022年5月9日,"60,161.02","61,290.10","61,352.93","59,863.94",123.50M,-1.84%
2022年5月6日,"61,290.10","62,902.26","62,902.26","60,555.41",138.10M,-2.56%
2022年5月5日,"62,902.26","63,573.87","64,353.17","62,902.26",-,-1.06%
2022年5月4日,"63,573.87","64,401.30","64,440.64","63,293.40",111.21M,-1.28%
2022年5月3日,"64,401.30","65,475.55","65,568.78","64,351.42",117.55M,-1.64%
2022年4月29日,"65,475.55","64,551.99","66,128.11","64,551.99",146.58M,1.43%
2022年4月28日,"64,551.99","63,336.92","64,651.24","63,310.31",105.74M,1.92%
2022年4月26日,"63,336.92","62,895.89","64,058.03","62,895.89",105.84M,0.70%
2022年4月25日,"62,895.89","65,385.48","65,403.54","62,864.14",166.87M,-3.81%
2022年4月22日,"65,385.48","66,417.55","66,417.55","65,354.26",106.68M,-1.55%
2022年4月21日,"66,417.55","66,765.06","66,945.26","66,143.43",-,-0.52%
2022年4月20日,"66,765.06","66,867.43","67,138.19","66,448.48",119.92M,-0.15%
2022年4月19日,"66,867.43","66,481.94","67,110.37","66,481.94",109.56M,0.58%
2022年4月14日,"66,481.94","66,200.31","66,857.64","66,200.31",91.57M,0.43%
2022年4月13日,"66,200.31","66,780.07","66,961.01","65,980.58",113.57M,-0.87%
2022年4月12日,"66,780.07","67,405.96","67,584.28","66,455.86",111.14M,-0.93%
2022年4月11日,"67,405.96","67,747.07","67,805.59","67,091.77",119.84M,-0.50%
2022年4月8日,"67,747.07","67,003.12","67,901.41","67,003.12",125.82M,1.11%
2022年4月7日,"67,003.12","67,308.61","67,411.97","66,782.28",102.18M,-0.45%
2022年4月6日,"67,308.61","68,343.65","68,415.52","66,976.23",127.25M,-1.51%
2022年4月5日,"68,343.65","68,940.52","68,940.52","68,133.57",133.67M,-0.87%
2022年4月4日,"68,940.52","68,934.93","69,379.77","68,905.46",92.36M,0.01%
2022年4月1日,"68,934.93","68,507.85","69,006.12","67,770.76",109.82M,0.62%
2022年3月31日,"68,507.85","68,529.72","68,656.79","67,836.16",115.36M,-0.03%
2022年3月30日,"68,529.72","67,911.15","68,529.72","67,697.09",107.68M,0.91%
2022年3月29日,"67,911.15","67,436.21","68,194.63","67,436.21",137.09M,0.70%
2022年3月28日,"67,436.21","67,578.28","67,808.09","67,191.73",114.02M,-0.21%
2022年3月25日,"67,578.28","67,690.25","67,914.69","67,373.93",96.55M,-0.17%
2022年3月24日,"67,690.25","68,235.42","68,792.29","67,617.11",133.90M,-0.80%
2022年3月23日,"68,235.42","69,145.89","69,390.14","68,145.09",133.29M,-1.32%
2022年3月22日,"69,145.89","68,275.27","69,375.50","68,275.27",151.70M,1.28%
2022年3月18日,"68,275.27","67,570.25","68,384.62","67,570.25",-,1.04%
2022年3月17日,"67,570.25","66,971.88","67,872.27","66,971.88",344.57M,0.89%
2022年3月16日,"66,971.88","64,292.26","66,971.88","64,292.26",196.83M,4.17%
2022年3月15日,"64,292.26","65,500.56","65,500.56","63,212.69",178.70M,-1.84%
2022年3月14日,"65,500.56","67,331.10","67,331.10","65,064.82",160.65M,-2.72%
2022年3月11日,"67,331.10","67,572.11","68,326.87","67,309.33",154.08M,-0.36%
2022年3月10日,"67,572.11","66,484.69","67,591.39","66,484.69",181.58M,1.64%
2022年3月9日,"66,484.69","66,302.29","67,184.31","66,183.82",178.45M,0.28%
2022年3月8日,"66,302.29","67,143.64","67,143.64","65,949.83",190.02M,-1.25%
2022年3月7日,"67,143.64","68,357.85","68,615.12","67,143.64",224.10M,-1.78%
2022年3月4日,"68,357.85","70,882.48","70,882.48","67,656.92",214.36M,-3.56%
2022年3月3日,"70,882.48","71,057.56","71,814.18","70,813.67",161.50M,-0.25%
2022年3月2日,"71,057.56","70,584.10","71,279.62","70,280.85",190.58M,0.67%
2022年3月1日,"70,584.10","69,624.29","70,773.74","69,500.82",168.04M,1.38%
2022年2月28日,"69,624.29","67,719.42","69,624.29","67,501.64",273.55M,2.81%
2022年2月25日,"67,719.42","67,235.99","67,750.57","66,882.76",114.36M,0.72%
2022年2月24日,"67,235.99","68,369.73","68,369.73","66,817.44",204.06M,-1.66%
2022年2月23日,"68,369.73","68,639.97","68,694.41","68,134.89",104.01M,-1.00%
2022年2月22日,"69,058.61","68,876.90","69,058.61","67,619.66",116.06M,0.26%
2022年2月21日,"68,876.90","69,650.10","70,014.40","68,764.76",77.95M,-1.11%
2022年2月18日,"69,650.10","69,406.88","69,738.60","69,200.02",100.46M,0.35%
2022年2月17日,"69,406.88","69,735.63","70,286.77","69,212.71",113.80M,-0.47%
2022年2月16日,"69,735.63","69,169.36","69,995.41","69,169.36",111.27M,0.82%
2022年2月15日,"69,169.36","69,130.81","69,760.50","69,071.30",142.58M,0.06%
2022年2月14日,"69,130.81","69,681.32","69,862.36","68,853.63",119.81M,-0.79%
2022年2月11日,"69,681.32","69,944.22","69,951.56","68,968.40",101.22M,-0.38%
2022年2月10日,"69,944.22","70,105.79","70,636.87","69,498.13",103.77M,-0.23%
2022年2月9日,"70,105.79","69,526.76","70,531.46","69,478.85",114.55M,0.83%
2022年2月8日,"69,526.76","69,197.64","70,049.93","69,146.60",112.17M,0.48%
2022年2月7日,"69,197.64","68,678.91","69,335.31","68,499.20",85.04M,0.76%
2022年2月4日,"68,678.91","68,461.21","68,961.86","68,224.84",82.83M,0.32%
2022年2月3日,"68,461.21","68,655.58","69,218.48","68,429.55",91.66M,-0.28%
2022年2月2日,"68,655.58","68,374.94","69,155.86","68,368.72",88.24M,0.41%
2022年2月1日,"68,374.94","67,820.89","68,726.22","67,800.17",100.51M,0.82%
2022年1月31日,"67,820.89","67,021.38","68,454.58","67,021.38",139.92M,1.19%
2022年1月28日,"67,021.38","67,070.04","67,665.18","66,431.78",83.26M,-0.07%
2022年1月27日,"67,070.04","67,363.61","67,363.61","65,817.03",94.86M,-0.44%
2022年1月26日,"67,363.61","65,869.53","67,420.50","65,869.53",113.50M,2.27%
2022年1月25日,"65,869.53","65,653.18","66,648.24","65,653.18",109.20M,0.33%
2022年1月24日,"65,653.18","68,186.16","68,186.16","65,653.18",113.38M,-3.71%
2022年1月21日,"68,186.16","69,586.74","69,592.75","67,968.93",82.95M,-2.01%
2022年1月20日,"69,586.74","69,512.97","70,135.24","69,070.09",102.12M,0.11%
2022年1月19日,"69,512.97","68,281.90","69,522.82","68,281.90",92.66M,1.80%
2022年1月18日,"68,281.90","68,889.24","68,889.24","67,927.20",94.74M,-0.88%
2022年1月17日,"68,889.24","68,448.15","68,907.66","68,409.01",77.66M,0.64%
2022年1月14日,"68,448.15","69,187.73","69,187.73","68,236.76",74.47M,-1.07%
2022年1月13日,"69,187.73","69,206.77","69,206.77","68,617.74",92.05M,-0.03%
2022年1月12日,"69,206.77","67,302.20","69,226.32","67,302.20",104.78M,2.83%
2022年1月11日,"67,302.20","67,114.14","67,802.02","67,098.32",98.18M,0.28%
2022年1月10日,"67,114.14","67,251.03","67,702.30","67,114.14",66.35M,-0.20%
2022年1月7日,"67,251.03","67,420.20","67,621.51","67,076.63",52.74M,-0.25%
2022年1月6日,"67,420.20","68,367.16","68,367.16","67,294.10",70.09M,-1.39%
2022年1月5日,"68,367.16","68,398.98","68,410.14","67,844.62",59.32M,-0.05%
2022年1月4日,"68,398.98","67,025.54","68,398.98","66,918.12",62.00M,2.05%
2022年1月3日,"67,025.54","67,052.40","67,612.28","66,988.57",42.55M,-0.04%
2021年12月31日,"67,052.40","67,129.53","67,263.14","66,758.87",22.27M,-0.11%
2021年12月30日,"67,129.53","66,613.94","67,187.51","66,598.12",49.98M,0.77%
2021年12月29日,"66,613.94","65,864.13","66,667.00","65,657.72",41.25M,1.14%
2021年12月28日,"65,864.13","65,023.34","66,012.40","65,003.56",46.44M,1.29%
2021年12月24日,"65,023.34","65,125.68","65,362.86","65,023.34",9.03M,-0.16%
2021年12月23日,"65,125.68","64,803.84","65,513.57","64,803.84",48.77M,0.50%
2021年12月22日,"64,803.84","64,611.70","65,123.15","64,549.25",44.06M,0.30%
2021年12月21日,"64,611.70","63,652.47","64,834.97","63,652.47",62.36M,1.51%
2021年12月20日,"63,652.47","64,680.34","64,680.34","63,030.90",78.19M,-1.59%
2021年12月17日,"64,680.34","65,102.29","65,900.44","64,680.34",294.06M,-0.65%
2021年12月15日,"65,102.29","65,212.46","65,695.75","64,939.87",343.08M,-0.17%
2021年12月14日,"65,212.46","65,177.02","65,447.33","64,836.01",159.64M,0.05%
2021年12月13日,"65,177.02","65,390.32","66,125.42","65,087.56",133.76M,-0.33%
2021年12月10日,"65,390.32","65,779.50","65,957.29","65,318.86",123.82M,-0.59%
2021年12月9日,"65,779.50","65,992.71","66,187.56","65,485.58",114.75M,-0.32%
2021年12月8日,"65,992.71","66,513.46","66,692.71","65,798.05",130.03M,-0.78%
2021年12月7日,"66,513.46","64,598.46","66,537.07","64,598.46",123.34M,2.96%
2021年12月6日,"64,598.46","64,306.68","64,841.15","64,183.82",112.17M,0.45%
2021年12月3日,"64,306.68","64,555.25","65,111.64","64,306.68",113.99M,-0.39%
2021年12月2日,"64,555.25","64,785.66","65,098.33","64,195.91",152.58M,-0.36%
