日期,收盘,开盘,高,低,交易量,涨跌幅
2022年6月1日,"1,919.52","1,908.38","1,923.91","1,904.15",26.35M,0.92%
2022年5月31日,"1,901.96","1,902.22","1,914.63","1,890.81",60.10M,-0.27%
2022年5月30日,"1,907.09","1,930.81","1,936.26","1,901.98",17.89M,-0.79%
2022年5月29日,"1,922.27","1,919.29","1,923.45","1,908.89",15.99M,2.23%
2022年5月26日,"1,880.28","1,826.51","1,883.15","1,825.71",50.00M,2.39%
2022年5月25日,"1,836.31","1,870.87","1,876.54","1,832.61",32.57M,-1.30%
2022年5月24日,"1,860.57","1,889.00","1,891.69","1,860.57",31.99M,-2.23%
2022年5月23日,"1,903.06","1,909.08","1,916.71","1,889.10",39.39M,0.73%
2022年5月22日,"1,889.34","1,879.76","1,893.93","1,871.35",12.06M,0.72%
2022年5月19日,"1,875.88","1,889.81","1,889.81","1,871.94",43.37M,-2.26%
2022年5月18日,"1,919.28","1,932.76","1,942.35","1,913.41",25.71M,-0.43%
2022年5月17日,"1,927.55","1,915.02","1,934.48","1,911.88",30.39M,1.21%
2022年5月16日,"1,904.43","1,883.15","1,904.43","1,873.93",31.59M,0.65%
2022年5月15日,"1,892.07","1,907.06","1,911.29","1,887.97",10.65M,0.95%
2022年5月12日,"1,874.25","1,863.68","1,874.25","1,852.11",37.46M,-1.11%
2022年5月11日,"1,895.23","1,881.22","1,912.57","1,870.07",35.74M,1.12%
2022年5月10日,"1,874.22","1,864.13","1,882.07","1,846.09",34.07M,0.91%
2022年5月9日,"1,857.27","1,872.32","1,886.67","1,824.07",89.21M,-1.27%
2022年5月8日,"1,881.19","1,892.87","1,897.41","1,872.64",24.27M,-2.86%
2022年5月3日,"1,936.56","1,915.48","1,938.98","1,911.92",42.71M,-0.27%
2022年5月2日,"1,941.71","1,991.86","1,996.17","1,927.13",41.35M,-2.22%
2022年5月1日,"1,985.71","1,997.21","1,998.02","1,985.71",10.22M,-1.54%
2022年4月28日,"2,016.87","2,014.74","2,028.65","2,013.51",51.62M,1.15%
2022年4月27日,"1,994.03","1,991.77","2,004.75","1,988.65",22.97M,-0.54%
2022年4月26日,"2,004.95","2,021.71","2,023.02","2,004.95",29.03M,-0.08%
2022年4月25日,"2,006.48","2,010.01","2,019.92","2,005.22",34.15M,-0.76%
2022年4月24日,"2,021.81","2,010.39","2,023.27","2,005.81",11.75M,-1.65%
2022年4月20日,"2,055.66","2,046.00","2,059.12","2,046.00",20.02M,0.20%
2022年4月19日,"2,051.48","2,049.88","2,061.05","2,048.49",12.53M,0.22%
2022年4月18日,"2,046.88","2,039.50","2,049.74","2,037.45",6.71M,0.15%
2022年4月17日,"2,043.76","2,036.88","2,043.76","2,035.96",3.93M,0.20%
2022年4月14日,"2,039.69","2,030.98","2,040.53","2,030.98",25.89M,0.66%
2022年4月13日,"2,026.33","2,022.54","2,033.64","2,017.19",24.13M,0.13%
2022年4月12日,"2,023.75","2,019.90","2,035.82","2,007.97",26.54M,0.01%
2022年4月11日,"2,023.60","2,026.11","2,028.02","2,015.27",29.51M,-0.50%
