日期,收盘,开盘,高,低,交易量,涨跌幅
2022年6月1日,"12,766.47","12,911.45","12,912.92","12,766.47",182.27M,-1.20%
2022年5月31日,"12,921.74","12,967.78","13,034.50","12,806.05",386.64M,0.11%
2022年5月30日,"12,907.17","12,711.77","12,922.64","12,710.41",226.70M,1.72%
2022年5月29日,"12,689.01","12,633.85","12,717.13","12,633.84",151.47M,1.27%
2022年5月26日,"12,530.34","12,655.70","12,730.14","12,472.88",167.92M,-0.47%
2022年5月25日,"12,588.89","12,333.28","12,631.44","12,325.13",184.34M,2.34%
2022年5月24日,"12,300.86","12,251.21","12,355.23","12,199.50",157.93M,0.53%
2022年5月23日,"12,235.91","12,386.10","12,456.70","12,178.51",178.94M,-0.80%
2022年5月22日,"12,334.94","12,536.22","12,539.70","12,243.78",784.68M,-0.75%
2022年5月19日,"12,427.96","12,484.90","12,545.06","12,349.28",191.15M,-2.25%
2022年5月18日,"12,713.38","12,750.69","12,919.26","12,700.72",190.60M,0.19%
2022年5月17日,"12,689.87","12,937.48","12,953.89","12,575.65",204.80M,-1.74%
2022年5月16日,"12,914.89","13,229.41","13,286.34","12,914.46",174.71M,-1.78%
2022年5月15日,"13,149.29","13,017.07","13,211.58","12,895.88",141.54M,2.45%
2022年5月12日,"12,835.30","13,391.49","13,393.00","12,835.30",209.81M,-4.06%
2022年5月11日,"13,379.08","13,493.01","13,595.40","13,377.69",164.50M,-0.96%
2022年5月10日,"13,509.31","13,760.97","13,769.05","13,462.51",184.89M,-2.21%
2022年5月9日,"13,814.85","13,853.06","13,949.13","13,812.63",223.50M,-0.04%
2022年5月8日,"13,820.35","13,790.83","13,832.79","13,747.77",140.10M,0.63%
2022年4月28日,"13,733.87","13,708.73","13,765.70","13,652.95",151.72M,0.66%
2022年4月27日,"13,643.91","13,533.74","13,675.74","13,515.75",149.65M,1.04%
2022年4月26日,"13,503.49","13,585.58","13,635.76","13,417.10",158.46M,-0.29%
2022年4月25日,"13,543.25","13,451.11","13,543.25","13,371.16",181.60M,0.60%
2022年4月24日,"13,463.09","13,491.86","13,504.82","13,388.65",124.07M,-0.53%
2022年4月21日,"13,534.40","13,680.54","13,701.93","13,534.40",181.37M,-0.98%
2022年4月20日,"13,668.54","13,552.67","13,672.81","13,483.54",182.21M,1.21%
2022年4月19日,"13,505.57","13,752.12","13,783.56","13,505.57",180.24M,-1.66%
2022年4月18日,"13,733.14","13,670.20","13,742.25","13,658.11",158.34M,0.37%
2022年4月17日,"13,682.39","13,644.85","13,707.66","13,584.07",174.21M,0.45%
2022年4月14日,"13,621.08","13,540.10","13,621.08","13,436.45",201.09M,0.60%
2022年4月13日,"13,540.27","13,648.97","13,680.02","13,509.50",240.23M,-0.78%
2022年4月12日,"13,646.12","13,500.72","13,646.12","13,489.47",241.92M,1.21%
2022年4月11日,"13,483.23","13,412.30","13,511.52","13,399.67",217.59M,0.66%
2022年4月10日,"13,395.46","13,350.90","13,422.59","13,342.83",169.83M,0.61%
2022年4月7日,"13,313.98","13,250.63","13,328.23","13,231.17",183.62M,0.44%
2022年4月6日,"13,255.96","13,198.42","13,271.95","13,167.81",285.12M,0.37%
2022年4月5日,"13,206.88","13,189.72","13,226.12","13,159.79",214.40M,0.32%
2022年4月4日,"13,165.34","13,087.63","13,165.34","13,057.01",183.40M,0.63%
2022年4月3日,"13,082.76","13,132.42","13,147.97","13,063.52",116.98M,-0.06%
2022年3月31日,"13,090.40","13,029.14","13,090.40","12,981.91",209.38M,0.40%
2022年3月30日,"13,038.22","13,096.78","13,101.06","12,992.27",216.18M,-0.48%
2022年3月29日,"13,101.36","13,065.16","13,114.89","13,039.64",235.19M,0.29%
2022年3月28日,"13,064.11","12,999.81","13,064.11","12,972.88",207.25M,0.50%
2022年3月27日,"12,999.73","12,916.10","13,000.10","12,901.30",198.57M,0.40%
2022年3月24日,"12,948.37","12,957.36","12,968.15","12,914.05",171.14M,0.03%
2022年3月23日,"12,944.16","12,875.40","12,944.16","12,862.60",158.20M,0.49%
2022年3月22日,"12,881.45","12,851.03","12,881.45","12,791.69",170.74M,0.39%
2022年3月21日,"12,831.69","12,905.55","12,959.96","12,828.81",211.83M,-0.34%
2022年3月20日,"12,875.80","12,836.39","12,919.40","12,808.40",188.05M,0.83%
2022年3月17日,"12,769.21","12,719.76","12,831.80","12,674.05",345.68M,0.89%
2022年3月16日,"12,656.23","12,459.80","12,656.23","12,447.71",264.40M,2.00%
2022年3月15日,"12,407.60","12,458.87","12,484.80","12,390.65",156.49M,-0.68%
2022年3月14日,"12,492.14","12,626.18","12,637.09","12,479.24",194.10M,-0.90%
2022年3月13日,"12,605.40","12,725.43","12,771.51","12,605.18",209.29M,-0.62%
2022年3月10日,"12,684.16","12,734.64","12,791.74","12,641.33",203.09M,-0.43%
2022年3月9日,"12,738.59","12,864.11","12,928.00","12,738.59",229.46M,-0.88%
2022年3月8日,"12,851.22","12,795.88","12,879.39","12,718.20",262.21M,0.34%
2022年3月7日,"12,808.03","12,858.59","12,881.92","12,684.33",285.82M,0.03%
2022年3月6日,"12,804.22","12,841.83","12,862.68","12,798.76",276.19M,0.38%
2022年3月3日,"12,756.31","12,724.96","12,781.46","12,694.91",303.81M,0.80%
2022年3月2日,"12,654.65","12,700.03","12,750.16","12,607.46",277.67M,-0.16%
2022年3月1日,"12,674.34","12,594.70","12,748.00","12,583.64",266.79M,0.67%
2022年2月28日,"12,590.26","12,415.16","12,590.26","12,344.40",264.76M,1.39%
2022年2月27日,"12,417.56","12,497.38","12,570.31","12,400.58",235.88M,0.98%
2022年2月24日,"12,297.62","12,269.27","12,368.38","12,190.37",384.61M,-1.84%
2022年2月23日,"12,527.63","12,521.36","12,591.46","12,470.81",254.69M,-0.27%
2022年2月21日,"12,561.60","12,475.23","12,640.81","12,475.23",295.94M,0.79%
2022年2月20日,"12,463.17","12,530.44","12,616.61","12,463.17",228.18M,-0.11%
2022年2月17日,"12,476.54","12,519.46","12,519.46","12,428.35",218.85M,-0.15%
2022年2月16日,"12,495.22","12,362.75","12,511.58","12,344.33",243.45M,1.17%
2022年2月15日,"12,350.64","12,187.51","12,358.17","12,160.46",191.51M,1.20%
2022年2月14日,"12,204.58","12,020.46","12,204.58","11,967.50",190.16M,1.46%
2022年2月13日,"12,029.04","12,182.54","12,184.89","11,910.47",225.16M,-1.95%
2022年2月10日,"12,268.71","12,203.52","12,268.71","12,174.29",153.95M,0.52%
2022年2月9日,"12,205.47","12,240.40","12,245.35","12,168.84",142.07M,-0.17%
2022年2月8日,"12,225.88","12,258.41","12,274.94","12,181.75",154.87M,-0.19%
2022年2月7日,"12,249.19","12,224.49","12,258.12","12,194.88",173.94M,0.37%
2022年2月6日,"12,204.45","12,179.84","12,214.97","12,109.64",147.30M,0.51%
2022年2月3日,"12,142.38","12,178.04","12,219.24","12,142.38",135.17M,-0.41%
2022年2月2日,"12,192.61","12,287.44","12,316.26","12,192.61",166.19M,-0.82%
2022年2月1日,"12,293.38","12,310.14","12,348.66","12,246.28",189.84M,0.18%
2022年1月31日,"12,271.84","12,269.92","12,359.97","12,269.92",229.53M,0.10%
2022年1月30日,"12,259.25","12,218.81","12,274.80","12,218.18",197.41M,0.66%
