日期,收盘,开盘,高,低,交易量,涨跌幅
2022年6月1日,"1,335.49","1,329.02","1,341.47","1,323.07",127.58K,0.22%
2022年5月31日,"1,332.59","1,342.08","1,342.08","1,324.46",127.92K,-0.77%
2022年5月30日,"1,342.87","1,337.39","1,342.87","1,329.38",121.53K,0.54%
2022年5月27日,"1,335.68","1,311.78","1,336.99","1,310.64",139.41K,2.00%
2022年5月26日,"1,309.50","1,312.56","1,319.21","1,304.59",127.93K,-0.09%
2022年5月25日,"1,310.70","1,277.54","1,311.32","1,273.29",172.70K,2.98%
2022年5月24日,"1,272.71","1,255.77","1,272.71","1,242.36",146.37K,1.38%
2022年5月23日,"1,255.35","1,287.49","1,287.65","1,245.41",139.33K,-2.12%
2022年5月20日,"1,282.51","1,284.89","1,296.00","1,273.40",110.10K,-0.08%
2022年5月19日,"1,283.55","1,259.59","1,291.49","1,255.63",130.08K,-0.22%
2022年5月18日,"1,286.41","1,289.50","1,298.69","1,268.13",159.94K,0.54%
2022年5月17日,"1,279.55","1,211.88","1,279.55","1,203.51",161.82K,5.31%
2022年5月16日,"1,215.08","1,254.88","1,258.25","1,214.29",172.77K,-0.71%
2022年5月13日,"1,223.76","1,281.28","1,284.94","1,219.52",237.56K,-4.38%
2022年5月12日,"1,279.76","1,337.01","1,339.25","1,279.48",163.22K,-5.19%
2022年5月11日,"1,349.82","1,344.14","1,355.11","1,324.20",94.77K,0.32%
2022年5月10日,"1,345.46","1,312.10","1,345.46","1,285.67",157.23K,2.39%
2022年5月9日,"1,314.04","1,358.56","1,360.64","1,308.34",200.88K,-4.31%
2022年5月6日,"1,373.21","1,399.54","1,399.54","1,371.00",129.91K,-2.25%
2022年5月5日,"1,404.88","1,402.60","1,405.43","1,373.42",122.13K,1.10%
2022年5月4日,"1,389.59","1,415.43","1,415.45","1,389.59",114.19K,-1.96%
2022年4月29日,"1,417.31","1,400.88","1,417.31","1,394.17",128.04K,1.17%
2022年4月28日,"1,400.88","1,400.60","1,407.82","1,392.24",91.68K,-0.08%
2022年4月27日,"1,402.03","1,394.85","1,407.70","1,362.87",108.12K,0.37%
2022年4月26日,"1,396.90","1,347.83","1,397.43","1,318.50",181.78K,2.23%
2022年4月25日,"1,366.39","1,444.79","1,445.62","1,356.36",202.43K,-5.40%
2022年4月22日,"1,444.32","1,439.32","1,455.15","1,419.05",150.76K,1.22%
2022年4月21日,"1,426.87","1,434.77","1,452.41","1,422.70",172.36K,-0.60%
2022年4月20日,"1,435.50","1,440.90","1,453.81","1,434.87",150.22K,-0.35%
2022年4月19日,"1,440.61","1,471.63","1,478.50","1,440.61",156.62K,-1.88%
2022年4月18日,"1,468.25","1,493.17","1,493.24","1,466.73",194.44K,-1.71%
2022年4月15日,"1,493.74","1,514.89","1,518.85","1,491.26",181.77K,-1.60%
2022年4月14日,"1,518.01","1,526.49","1,534.28","1,517.07",119.61K,-0.48%
2022年4月13日,"1,525.39","1,512.37","1,526.44","1,506.45",143.87K,1.21%
2022年4月12日,"1,507.20","1,530.30","1,532.03","1,506.41",152.48K,-1.12%
2022年4月8日,"1,524.31","1,541.78","1,547.60","1,524.31",156.34K,-1.14%
2022年4月7日,"1,541.96","1,561.14","1,566.09","1,541.96",198.97K,-0.97%
