日期,收盘,开盘,高,低,交易量,涨跌幅
2022年6月1日,"1,822.57","1,846.59","1,846.59","1,818.87",19.65M,-1.10%
2022年5月31日,"1,842.93","1,859.04","1,862.95","1,837.62",51.23M,-0.84%
2022年5月30日,"1,858.60","1,829.08","1,859.20","1,827.52",18.91M,2.65%
2022年5月27日,"1,810.68","1,827.36","1,832.19","1,800.31",24.98M,-0.89%
2022年5月26日,"1,827.01","1,798.70","1,832.27","1,790.87",23.21M,1.69%
2022年5月25日,"1,796.58","1,823.39","1,833.56","1,789.67",21.06M,-0.80%
2022年5月24日,"1,810.98","1,825.08","1,844.86","1,810.98",30.46M,-1.41%
2022年5月23日,"1,836.87","1,798.11","1,836.98","1,798.11",33.30M,3.04%
2022年5月20日,"1,782.66","1,787.07","1,806.82","1,782.66",28.11M,0.35%
2022年5月19日,"1,776.40","1,780.36","1,789.69","1,753.51",30.98M,-1.40%
2022年5月18日,"1,801.68","1,807.17","1,827.63","1,801.68",30.96M,0.06%
2022年5月17日,"1,800.55","1,777.41","1,818.05","1,769.03",33.00M,2.18%
2022年5月16日,"1,762.22","1,761.15","1,796.30","1,746.66",24.96M,-0.19%
2022年5月13日,"1,765.63","1,709.53","1,774.92","1,709.53",26.24M,4.38%
2022年5月12日,"1,691.62","1,692.71","1,713.59","1,652.30",35.36M,-1.54%
2022年5月11日,"1,718.07","1,728.70","1,744.76","1,710.15",29.86M,-0.07%
2022年5月10日,"1,719.24","1,735.81","1,748.73","1,703.90",30.85M,-0.47%
2022年5月9日,"1,727.34","1,757.77","1,759.99","1,724.48",16.71M,-2.14%
2022年5月6日,"1,765.14","1,763.62","1,765.14","1,717.48",25.82M,-0.04%
2022年5月5日,"1,765.85","1,832.60","1,849.71","1,765.85",31.28M,-2.58%
2022年5月4日,"1,812.56","1,834.06","1,836.87","1,808.20",28.73M,-0.63%
2022年5月2日,"1,824.05","1,854.26","1,854.26","1,816.50",15.50M,-1.83%
2022年4月29日,"1,858.12","1,898.54","1,915.32","1,850.37",33.61M,-1.40%
2022年4月28日,"1,884.42","1,903.66","1,916.25","1,872.10",25.55M,0.07%
2022年4月27日,"1,883.09","1,897.03","1,898.84","1,867.06",24.60M,-0.70%
2022年4月26日,"1,896.46","1,938.86","1,951.36","1,894.28",30.87M,-1.20%
2022年4月25日,"1,919.55","1,951.03","1,966.80","1,909.93",30.62M,-2.72%
2022年4月22日,"1,973.31","2,028.28","2,028.28","1,973.31",19.52M,-2.73%
2022年4月21日,"2,028.76","2,059.40","2,068.70","2,028.76",26.01M,-0.93%
2022年4月20日,"2,047.81","2,076.95","2,094.91","2,047.81",23.61M,-1.00%
2022年4月19日,"2,068.52","2,098.17","2,103.49","2,046.24",27.96M,-1.18%
2022年4月14日,"2,093.17","2,109.37","2,116.40","2,088.70",12.88M,-0.53%
2022年4月13日,"2,104.32","2,103.07","2,112.82","2,087.13",17.60M,0.49%
2022年4月12日,"2,094.01","2,115.34","2,115.34","2,091.76",24.57M,-1.30%
2022年4月11日,"2,121.65","2,081.23","2,121.65","2,066.56",21.24M,1.75%
2022年4月8日,"2,085.07","2,089.75","2,105.49","2,073.85",19.45M,0.41%
2022年4月7日,"2,076.63","2,110.89","2,116.47","2,076.63",24.83M,-1.48%
2022年4月6日,"2,107.82","2,124.38","2,127.28","2,083.93",23.04M,-0.74%
2022年4月5日,"2,123.49","2,164.28","2,170.09","2,120.76",17.81M,-1.59%
2022年4月4日,"2,157.79","2,171.43","2,181.17","2,144.42",23.13M,-0.32%
2022年4月1日,"2,164.81","2,143.61","2,168.05","2,142.22",17.12M,1.49%
2022年3月31日,"2,133.05","2,177.34","2,182.92","2,133.05",26.64M,-2.13%
2022年3月30日,"2,179.56","2,178.29","2,187.85","2,158.86",26.88M,0.37%
2022年3月29日,"2,171.56","2,134.55","2,182.97","2,107.74",34.98M,2.28%
2022年3月28日,"2,123.12","2,112.73","2,143.35","2,112.73",23.78M,0.36%
2022年3月25日,"2,115.58","2,142.22","2,147.17","2,098.97",22.95M,-1.09%
2022年3月24日,"2,138.80","2,130.03","2,154.29","2,112.60",27.07M,0.85%
2022年3月23日,"2,120.86","2,129.62","2,148.04","2,103.09",17.61M,-0.03%
2022年3月22日,"2,121.52","2,096.64","2,125.06","2,096.50",22.53M,1.36%
2022年3月21日,"2,093.04","2,098.58","2,125.13","2,082.38",20.67M,-0.30%
2022年3月18日,"2,099.26","2,122.59","2,137.12","2,088.08",77.18M,-1.22%
2022年3月17日,"2,125.29","2,070.66","2,125.29","2,070.66",40.72M,3.17%
2022年3月16日,"2,060.07","2,018.99","2,067.13","2,018.99",44.62M,3.01%
2022年3月15日,"1,999.93","1,968.78","2,018.37","1,950.63",30.43M,1.41%
2022年3月14日,"1,972.14","2,038.11","2,038.11","1,972.14",30.40M,-3.02%
2022年3月11日,"2,033.49","1,983.15","2,045.15","1,983.15",37.21M,3.21%
2022年3月10日,"1,970.27","1,983.05","1,992.24","1,950.24",36.31M,-0.15%
2022年3月9日,"1,973.25","1,937.96","1,981.13","1,933.67",43.61M,3.41%
2022年3月8日,"1,908.10","1,922.98","1,971.77","1,899.22",45.47M,-1.39%
2022年3月7日,"1,934.94","1,898.74","1,956.36","1,860.10",86.73M,0.84%
2022年3月4日,"1,918.75","2,000.16","2,000.16","1,894.88",53.30M,-4.52%
2022年3月3日,"2,009.56","2,053.82","2,068.52","2,005.47",71.58M,-1.68%
2022年3月2日,"2,043.96","1,966.40","2,043.96","1,954.93",75.62M,3.91%
2022年3月1日,"1,967.01","2,006.15","2,050.89","1,964.71",56.78M,-1.64%
2022年2月28日,"1,999.88","1,937.89","2,010.06","1,890.33",77.83M,1.48%
2022年2月25日,"1,970.78","1,850.34","1,993.78","1,850.34",51.01M,8.44%
2022年2月24日,"1,817.45","1,929.14","1,929.14","1,781.02",78.80M,-10.87%
2022年2月23日,"2,038.99","2,110.35","2,129.52","2,038.99",26.14M,-2.97%
2022年2月22日,"2,101.31","2,038.58","2,106.97","2,010.54",37.64M,1.54%
2022年2月21日,"2,069.53","2,149.19","2,162.80","2,059.49",21.36M,-3.44%
2022年2月18日,"2,143.28","2,172.08","2,188.88","2,143.28",17.81M,-1.49%
2022年2月17日,"2,175.61","2,215.90","2,218.30","2,168.46",22.77M,-1.68%
2022年2月16日,"2,212.73","2,224.29","2,246.54","2,201.69",22.24M,0.14%
2022年2月15日,"2,209.70","2,170.43","2,222.01","2,170.43",20.51M,2.22%
2022年2月14日,"2,161.79","2,154.92","2,172.61","2,119.71",27.76M,-1.88%
2022年2月11日,"2,203.13","2,203.02","2,203.52","2,172.72",17.73M,-0.46%
2022年2月10日,"2,213.21","2,235.91","2,244.73","2,201.11",17.32M,-1.02%
2022年2月9日,"2,235.93","2,220.47","2,236.48","2,216.91",24.72M,0.94%
2022年2月8日,"2,215.12","2,176.00","2,215.12","2,171.41",24.29M,2.00%
2022年2月7日,"2,171.62","2,181.87","2,201.40","2,149.25",22.24M,-0.14%
2022年2月4日,"2,174.57","2,239.14","2,242.69","2,174.57",21.82M,-2.71%
2022年2月3日,"2,235.15","2,249.40","2,250.75","2,225.26",34.10M,-0.79%
2022年2月2日,"2,252.92","2,229.44","2,262.18","2,221.30",29.15M,1.29%
2022年2月1日,"2,224.28","2,219.99","2,238.58","2,210.41",17.50M,0.66%
2022年1月31日,"2,209.62","2,198.34","2,218.58","2,191.24",30.05M,1.19%
2022年1月28日,"2,183.70","2,232.26","2,232.26","2,167.61",31.31M,-2.27%
2022年1月27日,"2,234.33","2,218.18","2,241.77","2,197.75",23.45M,0.05%
2022年1月26日,"2,233.18","2,204.53","2,245.72","2,204.53",22.17M,1.53%
2022年1月25日,"2,199.60","2,170.85","2,214.87","2,170.45",30.00M,1.35%
2022年1月24日,"2,170.36","2,270.73","2,282.96","2,153.81",36.08M,-4.55%
2022年1月21日,"2,273.81","2,298.12","2,298.12","2,257.71",26.13M,-1.52%
2022年1月20日,"2,308.94","2,321.60","2,331.17","2,299.73",26.14M,-0.35%
2022年1月19日,"2,316.94","2,304.66","2,337.74","2,291.46",49.75M,-0.02%
2022年1月18日,"2,317.36","2,361.68","2,361.68","2,317.23",18.96M,-2.03%
2022年1月17日,"2,365.29","2,378.90","2,387.33","2,359.30",21.18M,-0.75%
2022年1月14日,"2,383.16","2,402.92","2,413.59","2,370.11",25.18M,-1.02%
2022年1月13日,"2,407.62","2,406.83","2,429.03","2,397.64",36.97M,-0.14%
2022年1月12日,"2,411.11","2,350.99","2,411.11","2,350.99",46.03M,2.84%
2022年1月11日,"2,344.45","2,300.38","2,345.44","2,296.03",30.82M,2.32%
2022年1月10日,"2,291.23","2,311.34","2,328.41","2,289.59",22.61M,-0.90%
2022年1月7日,"2,311.93","2,309.61","2,314.16","2,278.63",29.72M,0.04%
2022年1月5日,"2,310.97","2,296.70","2,310.97","2,283.63",23.37M,0.45%
2022年1月4日,"2,300.68","2,293.18","2,301.76","2,281.04",22.49M,0.62%
2022年1月3日,"2,286.50","2,272.18","2,302.11","2,272.18",19.20M,0.86%
2021年12月30日,"2,266.92","2,263.39","2,266.92","2,247.73",16.10M,0.28%
2021年12月29日,"2,260.70","2,245.28","2,263.76","2,242.80",17.26M,0.37%
2021年12月28日,"2,252.43","2,222.54","2,252.43","2,219.10",23.31M,1.18%
2021年12月27日,"2,226.24","2,226.82","2,232.08","2,210.90",15.66M,0.02%
2021年12月23日,"2,225.80","2,215.19","2,228.64","2,213.67",18.95M,0.61%
2021年12月22日,"2,212.32","2,190.04","2,212.32","2,186.67",14.59M,1.23%
2021年12月21日,"2,185.47","2,193.98","2,206.73","2,185.27",18.66M,-0.20%
2021年12月20日,"2,189.91","2,168.37","2,193.18","2,144.30",23.43M,-0.21%
2021年12月17日,"2,194.56","2,206.89","2,208.54","2,183.83",62.49M,-0.87%
2021年12月16日,"2,213.89","2,177.87","2,216.95","2,177.87",30.88M,2.45%
2021年12月15日,"2,161.04","2,211.49","2,211.49","2,153.69",24.07M,-2.30%
2021年12月14日,"2,211.81","2,217.45","2,226.58","2,197.46",25.76M,-0.12%
2021年12月13日,"2,214.38","2,216.22","2,244.59","2,205.11",23.53M,0.03%
2021年12月10日,"2,213.78","2,212.19","2,226.15","2,203.22",13.69M,0.04%
2021年12月9日,"2,212.81","2,214.59","2,237.73","2,184.35",27.98M,-0.31%
2021年12月8日,"2,219.62","2,234.64","2,244.71","2,214.40",24.25M,-0.52%
2021年12月7日,"2,231.12","2,201.86","2,237.32","2,201.86",32.33M,1.85%
2021年12月6日,"2,190.67","2,184.60","2,199.87","2,175.93",20.25M,0.50%
2021年12月3日,"2,179.71","2,209.95","2,223.51","2,176.74",29.60M,-1.01%
2021年12月2日,"2,201.86","2,208.07","2,208.07","2,179.15",28.36M,-0.69%
2021年12月1日,"2,217.18","2,205.85","2,229.12","2,193.19",31.39M,1.04%
2021年11月30日,"2,194.37","2,133.69","2,199.73","2,118.81",72.23M,2.13%
2021年11月29日,"2,148.62","2,148.59","2,168.81","2,120.23",31.74M,0.26%
2021年11月26日,"2,143.13","2,193.90","2,193.90","2,138.75",39.40M,-3.87%
2021年11月25日,"2,229.44","2,244.79","2,247.36","2,218.45",18.90M,-0.46%
2021年11月24日,"2,239.75","2,268.15","2,275.74","2,230.01",20.34M,-0.95%
2021年11月23日,"2,261.15","2,245.04","2,268.99","2,223.71",24.01M,0.59%
2021年11月22日,"2,247.82","2,251.08","2,262.74","2,237.64",25.60M,-0.02%
2021年11月19日,"2,248.18","2,271.91","2,286.37","2,221.68",34.66M,-1.02%
2021年11月18日,"2,271.31","2,316.90","2,316.90","2,258.90",28.22M,-1.99%
2021年11月17日,"2,317.49","2,346.41","2,354.67","2,312.13",22.13M,-0.96%
2021年11月16日,"2,340.03","2,336.33","2,350.13","2,333.66",22.25M,0.21%
2021年11月15日,"2,335.04","2,358.49","2,384.74","2,335.04",27.79M,-0.98%
2021年11月12日,"2,358.23","2,372.28","2,390.77","2,358.23",28.82M,-0.35%
2021年11月10日,"2,366.59","2,393.48","2,407.83","2,355.75",25.13M,-1.19%
2021年11月9日,"2,395.05","2,420.42","2,423.89","2,393.20",24.50M,-1.19%
2021年11月8日,"2,423.92","2,444.16","2,449.64","2,417.29",19.32M,-0.62%
2021年11月5日,"2,439.16","2,439.09","2,443.77","2,419.57",23.57M,0.01%
2021年11月4日,"2,438.80","2,386.85","2,441.93","2,386.85",28.52M,2.47%
2021年11月3日,"2,380.11","2,411.54","2,428.52","2,370.99",23.05M,-1.14%
